elementwise_feature,metric,base_feature,space,dimension
cos_elem_1022,cosine,dim_1022,CC,1022
euc_elem_1907,euclidean,dim_1907,CC,1907
euc_elem_967,euclidean,dim_967,CC,967
cos_elem_800,cosine,dim_800,CC,800
euc_elem_1296,euclidean,dim_1296,CC,1296
cos_elem_1314,cosine,dim_1314,CC,1314
euc_elem_1726,euclidean,dim_1726,CC,1726
cos_elem_922,cosine,dim_922,CC,922
euc_elem_446,euclidean,dim_446,CC,446
euc_elem_1035,euclidean,dim_1035,CC,1035
euc_elem_1671,euclidean,dim_1671,CC,1671
euc_elem_784,euclidean,dim_784,CC,784
euc_elem_715,euclidean,dim_715,CC,715
euc_elem_2360,euclidean,dim_2360,CC,2360
cos_elem_2474,cosine,dim_2474,CC,2474
cos_elem_1998,cosine,dim_1998,CC,1998
cos_elem_2866,cosine,dim_2866,CC,2866
euc_elem_881,euclidean,dim_881,CC,881
euc_elem_1582,euclidean,dim_1582,CC,1582
cos_elem_1554,cosine,dim_1554,CC,1554
euc_elem_1732,euclidean,dim_1732,CC,1732
cos_elem_2889,cosine,dim_2889,CC,2889
cos_elem_110,cosine,dim_110,CC,110
cos_elem_1583,cosine,dim_1583,CC,1583
euc_elem_2340,euclidean,dim_2340,CC,2340
euc_elem_647,euclidean,dim_647,CC,647
cos_elem_3014,cosine,dim_3014,CC,3014
euc_elem_2569,euclidean,dim_2569,CC,2569
cos_elem_39,cosine,dim_39,CC,39
euc_elem_702,euclidean,dim_702,CC,702
cos_elem_169,cosine,dim_169,CC,169
cos_elem_2812,cosine,dim_2812,CC,2812
euc_elem_812,euclidean,dim_812,CC,812
cos_elem_2007,cosine,dim_2007,CC,2007
cos_elem_1550,cosine,dim_1550,CC,1550
cos_elem_2225,cosine,dim_2225,CC,2225
euc_elem_602,euclidean,dim_602,CC,602
euc_elem_791,euclidean,dim_791,CC,791
cos_elem_2869,cosine,dim_2869,CC,2869
euc_elem_577,euclidean,dim_577,CC,577
euc_elem_2474,euclidean,dim_2474,CC,2474
cos_elem_783,cosine,dim_783,CC,783
cos_elem_311,cosine,dim_311,CC,311
euc_elem_2473,euclidean,dim_2473,CC,2473
cos_elem_2494,cosine,dim_2494,CC,2494
euc_elem_2292,euclidean,dim_2292,CC,2292
euc_elem_384,euclidean,dim_384,CC,384
euc_elem_2665,euclidean,dim_2665,CC,2665
cos_elem_140,cosine,dim_140,CC,140
euc_elem_1096,euclidean,dim_1096,CC,1096
cos_elem_2402,cosine,dim_2402,CC,2402
cos_elem_2470,cosine,dim_2470,CC,2470
cos_elem_2400,cosine,dim_2400,CC,2400
cos_elem_2469,cosine,dim_2469,CC,2469
euc_elem_1915,euclidean,dim_1915,CC,1915
euc_elem_1912,euclidean,dim_1912,CC,1912
euc_elem_800,euclidean,dim_800,CC,800
euc_elem_1727,euclidean,dim_1727,CC,1727
euc_elem_1748,euclidean,dim_1748,CC,1748
cos_elem_313,cosine,dim_313,CC,313
cos_elem_1332,cosine,dim_1332,CC,1332
cos_elem_715,cosine,dim_715,CC,715
euc_elem_2461,euclidean,dim_2461,CC,2461
cos_elem_1489,cosine,dim_1489,CC,1489
cos_elem_784,cosine,dim_784,CC,784
euc_elem_1332,euclidean,dim_1332,CC,1332
euc_elem_2104,euclidean,dim_2104,CC,2104
cos_elem_2050,cosine,dim_2050,CC,2050
cos_elem_2136,cosine,dim_2136,CC,2136
cos_elem_731,cosine,dim_731,CC,731
euc_elem_3190,euclidean,dim_3190,CC,3190
cos_elem_94,cosine,dim_94,CC,94
euc_elem_1883,euclidean,dim_1883,CC,1883
cos_elem_441,cosine,dim_441,CC,441
cos_elem_434,cosine,dim_434,CC,434
cos_elem_652,cosine,dim_652,CC,652
euc_elem_2892,euclidean,dim_2892,CC,2892
euc_elem_783,euclidean,dim_783,CC,783
cos_elem_1891,cosine,dim_1891,CC,1891
euc_elem_1129,euclidean,dim_1129,CC,1129
euc_elem_1841,euclidean,dim_1841,CC,1841
cos_elem_1227,cosine,dim_1227,CC,1227
euc_elem_922,euclidean,dim_922,CC,922
cos_elem_1809,cosine,dim_1809,CC,1809
euc_elem_1214,euclidean,dim_1214,CC,1214
cos_elem_2523,cosine,dim_2523,CC,2523
cos_elem_3121,cosine,dim_3121,CC,3121
cos_elem_3021,cosine,dim_3021,CC,3021
cos_elem_3034,cosine,dim_3034,CC,3034
cos_elem_917,cosine,dim_917,CC,917
cos_elem_974,cosine,dim_974,CC,974
cos_elem_1214,cosine,dim_1214,CC,1214
cos_elem_1908,cosine,dim_1908,CC,1908
euc_elem_1721,euclidean,dim_1721,CC,1721
cos_elem_945,cosine,dim_945,CC,945
cos_elem_2216,cosine,dim_2216,CC,2216
cos_elem_2226,cosine,dim_2226,CC,2226
euc_elem_3001,euclidean,dim_3001,CC,3001
euc_elem_1489,euclidean,dim_1489,CC,1489
euc_elem_1173,euclidean,dim_1173,CC,1173
cos_elem_2886,cosine,dim_2886,CC,2886
euc_elem_1723,euclidean,dim_1723,CC,1723
cos_elem_790,cosine,dim_790,CC,790
cos_elem_738,cosine,dim_738,CC,738
euc_elem_2423,euclidean,dim_2423,CC,2423
euc_elem_945,euclidean,dim_945,CC,945
euc_elem_3031,euclidean,dim_3031,CC,3031
euc_elem_1340,euclidean,dim_1340,CC,1340
cos_elem_1565,cosine,dim_1565,CC,1565
euc_elem_202,euclidean,dim_202,CC,202
euc_elem_1996,euclidean,dim_1996,CC,1996
euc_elem_723,euclidean,dim_723,CC,723
cos_elem_1919,cosine,dim_1919,CC,1919
euc_elem_757,euclidean,dim_757,CC,757
euc_elem_2434,euclidean,dim_2434,CC,2434
euc_elem_2457,euclidean,dim_2457,CC,2457
cos_elem_2819,cosine,dim_2819,CC,2819
euc_elem_62,euclidean,dim_62,CC,62
euc_elem_2748,euclidean,dim_2748,CC,2748
euc_elem_2446,euclidean,dim_2446,CC,2446
cos_elem_1035,cosine,dim_1035,CC,1035
euc_elem_1031,euclidean,dim_1031,CC,1031
cos_elem_37,cosine,dim_37,CC,37
cos_elem_1139,cosine,dim_1139,CC,1139
euc_elem_3165,euclidean,dim_3165,CC,3165
euc_elem_1417,euclidean,dim_1417,CC,1417
euc_elem_2511,euclidean,dim_2511,CC,2511
cos_elem_2860,cosine,dim_2860,CC,2860
euc_elem_1481,euclidean,dim_1481,CC,1481
euc_elem_2419,euclidean,dim_2419,CC,2419
euc_elem_534,euclidean,dim_534,CC,534
euc_elem_2736,euclidean,dim_2736,CC,2736
euc_elem_1920,euclidean,dim_1920,CC,1920
euc_elem_2903,euclidean,dim_2903,CC,2903
cos_elem_698,cosine,dim_698,CC,698
euc_elem_1833,euclidean,dim_1833,CC,1833
euc_elem_3030,euclidean,dim_3030,CC,3030
euc_elem_1439,euclidean,dim_1439,CC,1439
cos_elem_2463,cosine,dim_2463,CC,2463
cos_elem_2937,cosine,dim_2937,CC,2937
cos_elem_954,cosine,dim_954,CC,954
cos_elem_2366,cosine,dim_2366,CC,2366
cos_elem_254,cosine,dim_254,CC,254
euc_elem_2366,euclidean,dim_2366,CC,2366
euc_elem_1253,euclidean,dim_1253,CC,1253
cos_elem_1619,cosine,dim_1619,CC,1619
cos_elem_1174,cosine,dim_1174,CC,1174
euc_elem_2258,euclidean,dim_2258,CC,2258
euc_elem_698,euclidean,dim_698,CC,698
cos_elem_19,cosine,dim_19,CC,19
cos_elem_3038,cosine,dim_3038,CC,3038
cos_elem_3031,cosine,dim_3031,CC,3031
euc_elem_1665,euclidean,dim_1665,CC,1665
cos_elem_2326,cosine,dim_2326,CC,2326
euc_elem_1984,euclidean,dim_1984,CC,1984
euc_elem_2688,euclidean,dim_2688,CC,2688
cos_elem_653,cosine,dim_653,CC,653
euc_elem_742,euclidean,dim_742,CC,742
euc_elem_731,euclidean,dim_731,CC,731
cos_elem_491,cosine,dim_491,CC,491
cos_elem_2644,cosine,dim_2644,CC,2644
euc_elem_2019,euclidean,dim_2019,CC,2019
cos_elem_2011,cosine,dim_2011,CC,2011
cos_elem_2642,cosine,dim_2642,CC,2642
euc_elem_491,euclidean,dim_491,CC,491
euc_elem_1595,euclidean,dim_1595,CC,1595
cos_elem_2665,cosine,dim_2665,CC,2665
cos_elem_2717,cosine,dim_2717,CC,2717
euc_elem_886,euclidean,dim_886,CC,886
cos_elem_1506,cosine,dim_1506,CC,1506
euc_elem_2184,euclidean,dim_2184,CC,2184
euc_elem_963,euclidean,dim_963,CC,963
euc_elem_395,euclidean,dim_395,CC,395
euc_elem_294,euclidean,dim_294,CC,294
euc_elem_313,euclidean,dim_313,CC,313
euc_elem_2663,euclidean,dim_2663,CC,2663
euc_elem_302,euclidean,dim_302,CC,302
cos_elem_486,cosine,dim_486,CC,486
euc_elem_2922,euclidean,dim_2922,CC,2922
euc_elem_154,euclidean,dim_154,CC,154
euc_elem_1493,euclidean,dim_1493,CC,1493
cos_elem_1481,cosine,dim_1481,CC,1481
euc_elem_1809,euclidean,dim_1809,CC,1809
euc_elem_51,euclidean,dim_51,CC,51
cos_elem_791,cosine,dim_791,CC,791
cos_elem_2740,cosine,dim_2740,CC,2740
cos_elem_356,cosine,dim_356,CC,356
euc_elem_2957,euclidean,dim_2957,CC,2957
euc_elem_1174,euclidean,dim_1174,CC,1174
cos_elem_2080,cosine,dim_2080,CC,2080
cos_elem_2838,cosine,dim_2838,CC,2838
euc_elem_2136,euclidean,dim_2136,CC,2136
euc_elem_70,euclidean,dim_70,CC,70
euc_elem_2642,euclidean,dim_2642,CC,2642
cos_elem_394,cosine,dim_394,CC,394
cos_elem_384,cosine,dim_384,CC,384
euc_elem_1900,euclidean,dim_1900,CC,1900
