elementwise_feature,metric,base_feature,space,dimension
cos_elem_2069,cosine,dim_2069,CC,2069
euc_elem_1253,euclidean,dim_1253,CC,1253
euc_elem_1657,euclidean,dim_1657,CC,1657
cos_elem_2641,cosine,dim_2641,CC,2641
euc_elem_2331,euclidean,dim_2331,CC,2331
cos_elem_175,cosine,dim_175,CC,175
euc_elem_3193,euclidean,dim_3193,CC,3193
cos_elem_144,cosine,dim_144,CC,144
euc_elem_2780,euclidean,dim_2780,CC,2780
cos_elem_2686,cosine,dim_2686,CC,2686
euc_elem_2707,euclidean,dim_2707,CC,2707
cos_elem_2136,cosine,dim_2136,CC,2136
euc_elem_1173,euclidean,dim_1173,CC,1173
cos_elem_1387,cosine,dim_1387,CC,1387
euc_elem_1742,euclidean,dim_1742,CC,1742
euc_elem_444,euclidean,dim_444,CC,444
euc_elem_507,euclidean,dim_507,CC,507
euc_elem_1802,euclidean,dim_1802,CC,1802
cos_elem_971,cosine,dim_971,CC,971
euc_elem_1827,euclidean,dim_1827,CC,1827
cos_elem_789,cosine,dim_789,CC,789
cos_elem_356,cosine,dim_356,CC,356
euc_elem_204,euclidean,dim_204,CC,204
cos_elem_967,cosine,dim_967,CC,967
cos_elem_968,cosine,dim_968,CC,968
cos_elem_2892,cosine,dim_2892,CC,2892
euc_elem_908,euclidean,dim_908,CC,908
euc_elem_2483,euclidean,dim_2483,CC,2483
cos_elem_2840,cosine,dim_2840,CC,2840
euc_elem_922,euclidean,dim_922,CC,922
cos_elem_1633,cosine,dim_1633,CC,1633
euc_elem_2944,euclidean,dim_2944,CC,2944
euc_elem_2069,euclidean,dim_2069,CC,2069
euc_elem_118,euclidean,dim_118,CC,118
cos_elem_2717,cosine,dim_2717,CC,2717
euc_elem_476,euclidean,dim_476,CC,476
euc_elem_3248,euclidean,s_48,S,48
cos_elem_2538,cosine,dim_2538,CC,2538
euc_elem_2923,euclidean,dim_2923,CC,2923
cos_elem_2875,cosine,dim_2875,CC,2875
cos_elem_1475,cosine,dim_1475,CC,1475
euc_elem_1048,euclidean,dim_1048,CC,1048
cos_elem_3149,cosine,dim_3149,CC,3149
euc_elem_2702,euclidean,dim_2702,CC,2702
euc_elem_2366,euclidean,dim_2366,CC,2366
euc_elem_2872,euclidean,dim_2872,CC,2872
euc_elem_1516,euclidean,dim_1516,CC,1516
euc_elem_2774,euclidean,dim_2774,CC,2774
euc_elem_3097,euclidean,dim_3097,CC,3097
cos_elem_2602,cosine,dim_2602,CC,2602
euc_elem_1273,euclidean,dim_1273,CC,1273
euc_elem_2229,euclidean,dim_2229,CC,2229
euc_elem_418,euclidean,dim_418,CC,418
cos_elem_165,cosine,dim_165,CC,165
euc_elem_3151,euclidean,dim_3151,CC,3151
cos_elem_556,cosine,dim_556,CC,556
euc_elem_2228,euclidean,dim_2228,CC,2228
euc_elem_1226,euclidean,dim_1226,CC,1226
cos_elem_2104,cosine,dim_2104,CC,2104
euc_elem_2892,euclidean,dim_2892,CC,2892
cos_elem_652,cosine,dim_652,CC,652
euc_elem_1193,euclidean,dim_1193,CC,1193
euc_elem_1907,euclidean,dim_1907,CC,1907
cos_elem_526,cosine,dim_526,CC,526
euc_elem_2543,euclidean,dim_2543,CC,2543
euc_elem_1665,euclidean,dim_1665,CC,1665
euc_elem_2771,euclidean,dim_2771,CC,2771
