original_name,space,space_name,dimension,cc_level,cc_sublevel,cc_level_name,cc_sublevel_name,group_label
dim_57,CC,Chemical Checker,57,A,A1,Chemistry,2D fingerprints,Chemistry / A1: 2D fingerprints
dim_58,CC,Chemical Checker,58,A,A1,Chemistry,2D fingerprints,Chemistry / A1: 2D fingerprints
dim_59,CC,Chemical Checker,59,A,A1,Chemistry,2D fingerprints,Chemistry / A1: 2D fingerprints
dim_60,CC,Chemical Checker,60,A,A1,Chemistry,2D fingerprints,Chemistry / A1: 2D fingerprints
dim_61,CC,Chemical Checker,61,A,A1,Chemistry,2D fingerprints,Chemistry / A1: 2D fingerprints
dim_62,CC,Chemical Checker,62,A,A1,Chemistry,2D fingerprints,Chemistry / A1: 2D fingerprints
dim_63,CC,Chemical Checker,63,A,A1,Chemistry,2D fingerprints,Chemistry / A1: 2D fingerprints
dim_64,CC,Chemical Checker,64,A,A1,Chemistry,2D fingerprints,Chemistry / A1: 2D fingerprints
dim_65,CC,Chemical Checker,65,A,A1,Chemistry,2D fingerprints,Chemistry / A1: 2D fingerprints
dim_66,CC,Chemical Checker,66,A,A1,Chemistry,2D fingerprints,Chemistry / A1: 2D fingerprints
dim_67,CC,Chemical Checker,67,A,A1,Chemistry,2D fingerprints,Chemistry / A1: 2D fingerprints
dim_68,CC,Chemical Checker,68,A,A1,Chemistry,2D fingerprints,Chemistry / A1: 2D fingerprints
dim_69,CC,Chemical Checker,69,A,A1,Chemistry,2D fingerprints,Chemistry / A1: 2D fingerprints
dim_70,CC,Chemical Checker,70,A,A1,Chemistry,2D fingerprints,Chemistry / A1: 2D fingerprints
dim_71,CC,Chemical Checker,71,A,A1,Chemistry,2D fingerprints,Chemistry / A1: 2D fingerprints
dim_72,CC,Chemical Checker,72,A,A1,Chemistry,2D fingerprints,Chemistry / A1: 2D fingerprints
dim_73,CC,Chemical Checker,73,A,A1,Chemistry,2D fingerprints,Chemistry / A1: 2D fingerprints
dim_74,CC,Chemical Checker,74,A,A1,Chemistry,2D fingerprints,Chemistry / A1: 2D fingerprints
dim_75,CC,Chemical Checker,75,A,A1,Chemistry,2D fingerprints,Chemistry / A1: 2D fingerprints
dim_76,CC,Chemical Checker,76,A,A1,Chemistry,2D fingerprints,Chemistry / A1: 2D fingerprints
dim_77,CC,Chemical Checker,77,A,A1,Chemistry,2D fingerprints,Chemistry / A1: 2D fingerprints
dim_78,CC,Chemical Checker,78,A,A1,Chemistry,2D fingerprints,Chemistry / A1: 2D fingerprints
dim_79,CC,Chemical Checker,79,A,A1,Chemistry,2D fingerprints,Chemistry / A1: 2D fingerprints
dim_80,CC,Chemical Checker,80,A,A1,Chemistry,2D fingerprints,Chemistry / A1: 2D fingerprints
dim_81,CC,Chemical Checker,81,A,A1,Chemistry,2D fingerprints,Chemistry / A1: 2D fingerprints
dim_82,CC,Chemical Checker,82,A,A1,Chemistry,2D fingerprints,Chemistry / A1: 2D fingerprints
dim_83,CC,Chemical Checker,83,A,A1,Chemistry,2D fingerprints,Chemistry / A1: 2D fingerprints
dim_84,CC,Chemical Checker,84,A,A1,Chemistry,2D fingerprints,Chemistry / A1: 2D fingerprints
dim_85,CC,Chemical Checker,85,A,A1,Chemistry,2D fingerprints,Chemistry / A1: 2D fingerprints
dim_86,CC,Chemical Checker,86,A,A1,Chemistry,2D fingerprints,Chemistry / A1: 2D fingerprints
dim_87,CC,Chemical Checker,87,A,A1,Chemistry,2D fingerprints,Chemistry / A1: 2D fingerprints
dim_88,CC,Chemical Checker,88,A,A1,Chemistry,2D fingerprints,Chemistry / A1: 2D fingerprints
dim_89,CC,Chemical Checker,89,A,A1,Chemistry,2D fingerprints,Chemistry / A1: 2D fingerprints
dim_90,CC,Chemical Checker,90,A,A1,Chemistry,2D fingerprints,Chemistry / A1: 2D fingerprints
dim_91,CC,Chemical Checker,91,A,A1,Chemistry,2D fingerprints,Chemistry / A1: 2D fingerprints
