inchikey	ECOLI_BW25113	ECOLI_IAI1	STYPI_LT2	STYPI_14028	PA_PAO1	PA_PA14	BSUBTILIS	SA_DSM20231	SA_NEWMAN	SPNEUMO
ryyvlzvuvijvgh-uhfffaoysa-n	0.85	0.88	0.84	0.86	0.85	0.85		0.88		
rzekvgvhfleqil-uhfffaoysa-n								0.94		
sckyraxsedypsa-uhfffaoysa-n	0.27	0.15	0.3	0.27	0.58	0.75				
sgkrlcuyixiahr-akngssgzsa-n	0.42	0.0	0.55	0.4	0.85	0.5	0.74	0.5	0.28	0.79
sovuoxkzccawoj-hjyubdrysa-n	0.84	0.89	0.88	0.88	0.72	0.87	0.99	0.75	0.98	0.95
sylkglmblaagsc-qlvmhmetsa-n	0.62	0.86	0.82	0.89	0.0	0.0				
tynlgdbujlvsma-uhfffaoysa-n								0.9		
tyzrovqlwokykf-zdusscgksa-n	0.88	0.88	0.85	0.89	0.8	0.83	0.36	0.49	0.4	0.49
ucsjyzpvakxknq-hzyvhmacsa-n							0.56	0.74	0.81	0.91
ugtjljzqqfgtjd-uhfffaoysa-n	0.26	0.04	0.61	0.37	0.85	0.85	0.61	0.51	0.46	0.67
ulgzdmovfrhvep-rwjqbgpgsa-n	0.54	0.65	0.52	0.49	0.61	0.59	0.48	0.37	0.35	0.41
unfwwihtnxnpbv-wxkvuwsesa-n	0.51	0.53	0.58	0.66	0.72	0.67	0.97	0.82	0.84	0.89
uwyhmgvutgawsp-jkifevaisa-n	0.78	0.83	0.85	0.86	0.88	0.93	0.75	0.75	0.72	0.84
vaocpamslunlgc-uhfffaoysa-n	0.81	0.86	0.85	0.85	0.86	0.85	0.99	0.99	0.97	0.99
vfldpwhfbuoddf-fcxrpnkrsa-n	0.89	0.91	0.99	1.0	0.55	0.77				
vhfgebvphagqpi-lxkzptcjsa-n							0.24	0.31	0.41	0.36
voxzdwnpvjitmn-zbrfxrbcsa-n								0.95		
vvzbfokbsdgvgz-uhfffaoysa-n	0.0	0.0	0.65	0.7	0.0	0.0	0.64	0.9	0.93	0.81
wdqpamhffcxsnu-uhfffaoysa-n	0.88	0.9	0.9	0.9	0.82	0.83				
whqchucqkniqec-uhfffaoysa-n								0.64		
wiizwvcijkgzok-rkdxnwhrsa-n	0.51	0.0	0.63	0.63	0.87	0.0	0.65	0.47	0.5	0.52
wmbwrepuvvbilr-wiyylymnsa-n	0.8	0.76	0.88	0.8	0.46	0.7	0.69	0.83	0.78	0.95
wmpxpuypyqkqcx-uhfffaoysa-n	0.88	0.88	0.85	0.88	0.77	0.81				
wqvjhhacxvlgbl-bpjdfbqwsa-n	0.29	0.79	0.84	0.85	0.76	0.08				
wtjxvdpdeqktcv-vqaitoiosa-n	0.7	0.66	0.82	0.71	0.0	0.0				
wzpbzjondbgpkj-vehqqrbssa-n	0.0	0.0	0.0	0.0	0.0	0.0				
xefqlinvkfyrcs-uhfffaoysa-n	1.0	1.0	0.98	1.0	0.97	0.99	0.58	0.67	0.45	0.82
xfalpsljihvrke-gfccvegcsa-n							0.78	0.65	0.67	0.72
xgallcvxezpnrq-uhfffaoysa-n								0.95		
xjgvxqduiwgirw-uhfffaoysa-n								0.97		
xzwyzxlipxdolr-uhfffaoysa-n	0.54	0.27	0.67	0.63	0.48	0.58				
ybhilyktiriute-uhfffaoysa-n	0.8	0.85	0.9	0.89	0.76	0.88				
yeznlouzaiomlt-uhfffaoysa-n								0.63		
yjqpygghqpgbli-kgsxxdossa-n	0.45	0.0	0.85	0.28	0.86	0.91	0.91	0.67	0.52	0.56
ykqoskadjpqzhb-rgysvoegsa-n	0.84	0.97	0.99	0.92	0.0	0.0				
ymdxzjfxqjvxbf-sthayslisa-n	0.39	0.49	0.65	0.77	0.0	0.0	0.62	0.69	0.45	0.9
yncmlfhhxwetld-uhfffaoysa-n	0.25	0.0	0.69	0.81			0.85	0.81	0.7	0.96
zaipmknfioowcq-uekvphqbsa-n	0.84	0.88	0.86	0.87	0.9	0.9	0.95	0.99	1.0	0.61
zpeimtdsqakgnt-uhfffaoysa-n								0.94		
zsjlqepllkmakr-gkhcufpysa-n	0.84	0.79	0.55	0.7	1.0	0.98	1.0	0.82	0.69	0.96
zskvgtpcrgianv-zxflcmhbsa-n	0.28	0.44	0.07	0.0	0.0	0.0	0.69	0.7	0.45	0.93
