elementwise_feature,metric,base_feature,space,dimension
cos_elem_862,cosine,dim_862,CC,862
euc_elem_2991,euclidean,dim_2991,CC,2991
euc_elem_394,euclidean,dim_394,CC,394
euc_elem_655,euclidean,dim_655,CC,655
euc_elem_1550,euclidean,dim_1550,CC,1550
euc_elem_430,euclidean,dim_430,CC,430
cos_elem_838,cosine,dim_838,CC,838
euc_elem_2353,euclidean,dim_2353,CC,2353
cos_elem_55,cosine,dim_55,CC,55
euc_elem_77,euclidean,dim_77,CC,77
cos_elem_2419,cosine,dim_2419,CC,2419
cos_elem_698,cosine,dim_698,CC,698
euc_elem_2913,euclidean,dim_2913,CC,2913
cos_elem_827,cosine,dim_827,CC,827
euc_elem_94,euclidean,dim_94,CC,94
cos_elem_2596,cosine,dim_2596,CC,2596
cos_elem_371,cosine,dim_371,CC,371
cos_elem_2911,cosine,dim_2911,CC,2911
euc_elem_2895,euclidean,dim_2895,CC,2895
euc_elem_1386,euclidean,dim_1386,CC,1386
euc_elem_1371,euclidean,dim_1371,CC,1371
cos_elem_2287,cosine,dim_2287,CC,2287
cos_elem_922,cosine,dim_922,CC,922
euc_elem_2438,euclidean,dim_2438,CC,2438
cos_elem_2051,cosine,dim_2051,CC,2051
euc_elem_1582,euclidean,dim_1582,CC,1582
euc_elem_663,euclidean,dim_663,CC,663
cos_elem_175,cosine,dim_175,CC,175
euc_elem_330,euclidean,dim_330,CC,330
cos_elem_2184,cosine,dim_2184,CC,2184
cos_elem_654,cosine,dim_654,CC,654
euc_elem_2819,euclidean,dim_2819,CC,2819
cos_elem_2585,cosine,dim_2585,CC,2585
euc_elem_412,euclidean,dim_412,CC,412
cos_elem_2274,cosine,dim_2274,CC,2274
cos_elem_430,cosine,dim_430,CC,430
cos_elem_3172,cosine,dim_3172,CC,3172
cos_elem_1827,cosine,dim_1827,CC,1827
cos_elem_663,cosine,dim_663,CC,663
euc_elem_2387,euclidean,dim_2387,CC,2387
euc_elem_1516,euclidean,dim_1516,CC,1516
euc_elem_2774,euclidean,dim_2774,CC,2774
euc_elem_698,euclidean,dim_698,CC,698
euc_elem_743,euclidean,dim_743,CC,743
euc_elem_642,euclidean,dim_642,CC,642
euc_elem_55,euclidean,dim_55,CC,55
euc_elem_2436,euclidean,dim_2436,CC,2436
euc_elem_873,euclidean,dim_873,CC,873
cos_elem_1273,cosine,dim_1273,CC,1273
cos_elem_2438,cosine,dim_2438,CC,2438
euc_elem_1202,euclidean,dim_1202,CC,1202
cos_elem_2602,cosine,dim_2602,CC,2602
euc_elem_2771,euclidean,dim_2771,CC,2771
euc_elem_2558,euclidean,dim_2558,CC,2558
cos_elem_1757,cosine,dim_1757,CC,1757
euc_elem_892,euclidean,dim_892,CC,892
euc_elem_2411,euclidean,dim_2411,CC,2411
euc_elem_2108,euclidean,dim_2108,CC,2108
cos_elem_1274,cosine,dim_1274,CC,1274
euc_elem_957,euclidean,dim_957,CC,957
euc_elem_986,euclidean,dim_986,CC,986
cos_elem_2258,cosine,dim_2258,CC,2258
euc_elem_2176,euclidean,dim_2176,CC,2176
cos_elem_968,cosine,dim_968,CC,968
cos_elem_3147,cosine,dim_3147,CC,3147
cos_elem_2657,cosine,dim_2657,CC,2657
cos_elem_2387,cosine,dim_2387,CC,2387
euc_elem_3242,euclidean,s_42,S,42
euc_elem_2183,euclidean,dim_2183,CC,2183
