Drug A,Drug B,Drug A Inchikey,Drug B Inchikey,Drug Pair
mitomycin c,meropenem,NWIBSHFKIJFRCO-WUDYKRTCSA-N,DMJNNHOOLUXYBV-PQTSNVLCSA-N,"('DMJNNHOOLUXYBV-PQTSNVLCSA-N', 'NWIBSHFKIJFRCO-WUDYKRTCSA-N')"
cefaclor,meropenem,QYIYFLOTGYLRGG-GPCCPHFNSA-N,DMJNNHOOLUXYBV-PQTSNVLCSA-N,"('DMJNNHOOLUXYBV-PQTSNVLCSA-N', 'QYIYFLOTGYLRGG-GPCCPHFNSA-N')"
meropenem,ciclopirox,DMJNNHOOLUXYBV-PQTSNVLCSA-N,SCKYRAXSEDYPSA-UHFFFAOYSA-N,"('DMJNNHOOLUXYBV-PQTSNVLCSA-N', 'SCKYRAXSEDYPSA-UHFFFAOYSA-N')"
cefsulodin,meropenem,SYLKGLMBLAAGSC-QLVMHMETSA-N,DMJNNHOOLUXYBV-PQTSNVLCSA-N,"('DMJNNHOOLUXYBV-PQTSNVLCSA-N', 'SYLKGLMBLAAGSC-QLVMHMETSA-N')"
chloramphenicol,meropenem,WIIZWVCIJKGZOK-RKDXNWHRSA-N,DMJNNHOOLUXYBV-PQTSNVLCSA-N,"('DMJNNHOOLUXYBV-PQTSNVLCSA-N', 'WIIZWVCIJKGZOK-RKDXNWHRSA-N')"
egcg,meropenem,WMBWREPUVVBILR-WIYYLYMNSA-N,DMJNNHOOLUXYBV-PQTSNVLCSA-N,"('DMJNNHOOLUXYBV-PQTSNVLCSA-N', 'WMBWREPUVVBILR-WIYYLYMNSA-N')"
pyocyanin,meropenem,YNCMLFHHXWETLD-UHFFFAOYSA-N,DMJNNHOOLUXYBV-PQTSNVLCSA-N,"('DMJNNHOOLUXYBV-PQTSNVLCSA-N', 'YNCMLFHHXWETLD-UHFFFAOYSA-N')"
imipenem,meropenem,ZSKVGTPCRGIANV-ZXFLCMHBSA-N,DMJNNHOOLUXYBV-PQTSNVLCSA-N,"('DMJNNHOOLUXYBV-PQTSNVLCSA-N', 'ZSKVGTPCRGIANV-ZXFLCMHBSA-N')"
daptomycin,moxifloxacin,DOAKLVKFURWEDJ-QCMAZARJSA-N,FABPRXSRWADJSP-MEDUHNTESA-N,"('DOAKLVKFURWEDJ-QCMAZARJSA-N', 'FABPRXSRWADJSP-MEDUHNTESA-N')"
daptomycin,levofloxacin,DOAKLVKFURWEDJ-QCMAZARJSA-N,GSDSWSVVBLHKDQ-JTQLQIEISA-N,"('DOAKLVKFURWEDJ-QCMAZARJSA-N', 'GSDSWSVVBLHKDQ-JTQLQIEISA-N')"
daptomycin,trimethoprim,DOAKLVKFURWEDJ-QCMAZARJSA-N,IEDVJHCEMCRBQM-UHFFFAOYSA-N,"('DOAKLVKFURWEDJ-QCMAZARJSA-N', 'IEDVJHCEMCRBQM-UHFFFAOYSA-N')"
daptomycin,penicillin g,DOAKLVKFURWEDJ-QCMAZARJSA-N,JGSARLDLIJGVTE-MBNYWOFBSA-N,"('DOAKLVKFURWEDJ-QCMAZARJSA-N', 'JGSARLDLIJGVTE-MBNYWOFBSA-N')"
clindamycin,daptomycin,KDLRVYVGXIQJDK-AWPVFWJPSA-N,DOAKLVKFURWEDJ-QCMAZARJSA-N,"('DOAKLVKFURWEDJ-QCMAZARJSA-N', 'KDLRVYVGXIQJDK-AWPVFWJPSA-N')"
amikacin,daptomycin,LKCWBDHBTVXHDL-RMDFUYIESA-N,DOAKLVKFURWEDJ-QCMAZARJSA-N,"('DOAKLVKFURWEDJ-QCMAZARJSA-N', 'LKCWBDHBTVXHDL-RMDFUYIESA-N')"
amoxicillin,daptomycin,LSQZJLSUYDQPKJ-NJBDSQKTSA-N,DOAKLVKFURWEDJ-QCMAZARJSA-N,"('DOAKLVKFURWEDJ-QCMAZARJSA-N', 'LSQZJLSUYDQPKJ-NJBDSQKTSA-N')"
ciprofloxacin,daptomycin,MYSWGUAQZAJSOK-UHFFFAOYSA-N,DOAKLVKFURWEDJ-QCMAZARJSA-N,"('DOAKLVKFURWEDJ-QCMAZARJSA-N', 'MYSWGUAQZAJSOK-UHFFFAOYSA-N')"
daptomycin,lincomycin,DOAKLVKFURWEDJ-QCMAZARJSA-N,OJMMVQQUTAEWLP-KIDUDLJLSA-N,"('DOAKLVKFURWEDJ-QCMAZARJSA-N', 'OJMMVQQUTAEWLP-KIDUDLJLSA-N')"
cefsulodin,daptomycin,SYLKGLMBLAAGSC-QLVMHMETSA-N,DOAKLVKFURWEDJ-QCMAZARJSA-N,"('DOAKLVKFURWEDJ-QCMAZARJSA-N', 'SYLKGLMBLAAGSC-QLVMHMETSA-N')"
benzalkonium,daptomycin,VVZBFOKBSDGVGZ-UHFFFAOYSA-N,DOAKLVKFURWEDJ-QCMAZARJSA-N,"('DOAKLVKFURWEDJ-QCMAZARJSA-N', 'VVZBFOKBSDGVGZ-UHFFFAOYSA-N')"
chloramphenicol,daptomycin,WIIZWVCIJKGZOK-RKDXNWHRSA-N,DOAKLVKFURWEDJ-QCMAZARJSA-N,"('DOAKLVKFURWEDJ-QCMAZARJSA-N', 'WIIZWVCIJKGZOK-RKDXNWHRSA-N')"
daptomycin,egcg,DOAKLVKFURWEDJ-QCMAZARJSA-N,WMBWREPUVVBILR-WIYYLYMNSA-N,"('DOAKLVKFURWEDJ-QCMAZARJSA-N', 'WMBWREPUVVBILR-WIYYLYMNSA-N')"
daptomycin,tedizolid,DOAKLVKFURWEDJ-QCMAZARJSA-N,XFALPSLJIHVRKE-GFCCVEGCSA-N,"('DOAKLVKFURWEDJ-QCMAZARJSA-N', 'XFALPSLJIHVRKE-GFCCVEGCSA-N')"
daptomycin,streptozotocin,DOAKLVKFURWEDJ-QCMAZARJSA-N,ZSJLQEPLLKMAKR-GKHCUFPYSA-N,"('DOAKLVKFURWEDJ-QCMAZARJSA-N', 'ZSJLQEPLLKMAKR-GKHCUFPYSA-N')"
cycloserine d,moxifloxacin,DYDCUQKUCUHJBH-UWTATZPHSA-N,FABPRXSRWADJSP-MEDUHNTESA-N,"('DYDCUQKUCUHJBH-UWTATZPHSA-N', 'FABPRXSRWADJSP-MEDUHNTESA-N')"
cycloserine d,chlorhexidine,DYDCUQKUCUHJBH-UWTATZPHSA-N,GHXZTYHSJHQHIJ-UHFFFAOYSA-N,"('DYDCUQKUCUHJBH-UWTATZPHSA-N', 'GHXZTYHSJHQHIJ-UHFFFAOYSA-N')"
clomiphene,cycloserine d,GKIRPKYJQBWNGO-UHFFFAOYSA-N,DYDCUQKUCUHJBH-UWTATZPHSA-N,"('DYDCUQKUCUHJBH-UWTATZPHSA-N', 'GKIRPKYJQBWNGO-UHFFFAOYSA-N')"
cycloserine d,cefotaxime,DYDCUQKUCUHJBH-UWTATZPHSA-N,GPRBEKHLDVQUJE-QSWIMTSFSA-N,"('DYDCUQKUCUHJBH-UWTATZPHSA-N', 'GPRBEKHLDVQUJE-QSWIMTSFSA-N')"
cycloserine d,levofloxacin,DYDCUQKUCUHJBH-UWTATZPHSA-N,GSDSWSVVBLHKDQ-JTQLQIEISA-N,"('DYDCUQKUCUHJBH-UWTATZPHSA-N', 'GSDSWSVVBLHKDQ-JTQLQIEISA-N')"
cycloserine d,diflunisal,DYDCUQKUCUHJBH-UWTATZPHSA-N,HUPFGZXOMWLGNK-UHFFFAOYSA-N,"('DYDCUQKUCUHJBH-UWTATZPHSA-N', 'HUPFGZXOMWLGNK-UHFFFAOYSA-N')"
cycloserine d,fusidic acid,DYDCUQKUCUHJBH-UWTATZPHSA-N,IECPWNUMDGFDKC-MZJAQBGESA-N,"('DYDCUQKUCUHJBH-UWTATZPHSA-N', 'IECPWNUMDGFDKC-MZJAQBGESA-N')"
cycloserine d,piperacillin,DYDCUQKUCUHJBH-UWTATZPHSA-N,IVBHGBMCVLDMKU-GXNBUGAJSA-N,"('DYDCUQKUCUHJBH-UWTATZPHSA-N', 'IVBHGBMCVLDMKU-GXNBUGAJSA-N')"
cycloserine d,penicillin g,DYDCUQKUCUHJBH-UWTATZPHSA-N,JGSARLDLIJGVTE-MBNYWOFBSA-N,"('DYDCUQKUCUHJBH-UWTATZPHSA-N', 'JGSARLDLIJGVTE-MBNYWOFBSA-N')"
cycloserine d,sulfamethoxazol,DYDCUQKUCUHJBH-UWTATZPHSA-N,JLKIGFTWXXRPMT-UHFFFAOYSA-N,"('DYDCUQKUCUHJBH-UWTATZPHSA-N', 'JLKIGFTWXXRPMT-UHFFFAOYSA-N')"
cycloserine d,rifampicin,DYDCUQKUCUHJBH-UWTATZPHSA-N,JQXXHWHPUNPDRT-WLSIYKJHSA-N,"('DYDCUQKUCUHJBH-UWTATZPHSA-N', 'JQXXHWHPUNPDRT-WLSIYKJHSA-N')"
clindamycin,cycloserine d,KDLRVYVGXIQJDK-AWPVFWJPSA-N,DYDCUQKUCUHJBH-UWTATZPHSA-N,"('DYDCUQKUCUHJBH-UWTATZPHSA-N', 'KDLRVYVGXIQJDK-AWPVFWJPSA-N')"
amoxicillin,cycloserine d,LSQZJLSUYDQPKJ-NJBDSQKTSA-N,DYDCUQKUCUHJBH-UWTATZPHSA-N,"('DYDCUQKUCUHJBH-UWTATZPHSA-N', 'LSQZJLSUYDQPKJ-NJBDSQKTSA-N')"
cycloserine d,procaine,DYDCUQKUCUHJBH-UWTATZPHSA-N,MFDFERRIHVXMIY-UHFFFAOYSA-N,"('DYDCUQKUCUHJBH-UWTATZPHSA-N', 'MFDFERRIHVXMIY-UHFFFAOYSA-N')"
cycloserine d,pseudomonic acid,DYDCUQKUCUHJBH-UWTATZPHSA-N,MINDHVHHQZYEEK-HBBNESRFSA-N,"('DYDCUQKUCUHJBH-UWTATZPHSA-N', 'MINDHVHHQZYEEK-HBBNESRFSA-N')"
azithromycin,cycloserine d,MQTOSJVFKKJCRP-BICOPXKESA-N,DYDCUQKUCUHJBH-UWTATZPHSA-N,"('DYDCUQKUCUHJBH-UWTATZPHSA-N', 'MQTOSJVFKKJCRP-BICOPXKESA-N')"
ciprofloxacin,cycloserine d,MYSWGUAQZAJSOK-UHFFFAOYSA-N,DYDCUQKUCUHJBH-UWTATZPHSA-N,"('DYDCUQKUCUHJBH-UWTATZPHSA-N', 'MYSWGUAQZAJSOK-UHFFFAOYSA-N')"
cycloserine d,tobramycin,DYDCUQKUCUHJBH-UWTATZPHSA-N,NLVFBUXFDBBNBW-PBSUHMDJSA-N,"('DYDCUQKUCUHJBH-UWTATZPHSA-N', 'NLVFBUXFDBBNBW-PBSUHMDJSA-N')"
cycloserine d,nitrofurantoin,DYDCUQKUCUHJBH-UWTATZPHSA-N,NXFQHRVNIOXGAQ-YCRREMRBSA-N,"('DYDCUQKUCUHJBH-UWTATZPHSA-N', 'NXFQHRVNIOXGAQ-YCRREMRBSA-N')"
cycloserine d,lincomycin,DYDCUQKUCUHJBH-UWTATZPHSA-N,OJMMVQQUTAEWLP-KIDUDLJLSA-N,"('DYDCUQKUCUHJBH-UWTATZPHSA-N', 'OJMMVQQUTAEWLP-KIDUDLJLSA-N')"
cycloserine d,cefaclor,DYDCUQKUCUHJBH-UWTATZPHSA-N,QYIYFLOTGYLRGG-GPCCPHFNSA-N,"('DYDCUQKUCUHJBH-UWTATZPHSA-N', 'QYIYFLOTGYLRGG-GPCCPHFNSA-N')"
cycloserine d,puromycin,DYDCUQKUCUHJBH-UWTATZPHSA-N,RXWNCPJZOCPEPQ-NVWDDTSBSA-N,"('DYDCUQKUCUHJBH-UWTATZPHSA-N', 'RXWNCPJZOCPEPQ-NVWDDTSBSA-N')"
cycloserine d,linezolid,DYDCUQKUCUHJBH-UWTATZPHSA-N,TYZROVQLWOKYKF-ZDUSSCGKSA-N,"('DYDCUQKUCUHJBH-UWTATZPHSA-N', 'TYZROVQLWOKYKF-ZDUSSCGKSA-N')"
cycloserine d,cccp,DYDCUQKUCUHJBH-UWTATZPHSA-N,UGTJLJZQQFGTJD-UHFFFAOYSA-N,"('DYDCUQKUCUHJBH-UWTATZPHSA-N', 'UGTJLJZQQFGTJD-UHFFFAOYSA-N')"
cycloserine d,erythromycin,DYDCUQKUCUHJBH-UWTATZPHSA-N,ULGZDMOVFRHVEP-RWJQBGPGSA-N,"('DYDCUQKUCUHJBH-UWTATZPHSA-N', 'ULGZDMOVFRHVEP-RWJQBGPGSA-N')"
cycloserine d,oxacillin,DYDCUQKUCUHJBH-UWTATZPHSA-N,UWYHMGVUTGAWSP-JKIFEVAISA-N,"('DYDCUQKUCUHJBH-UWTATZPHSA-N', 'UWYHMGVUTGAWSP-JKIFEVAISA-N')"
benzalkonium,cycloserine d,VVZBFOKBSDGVGZ-UHFFFAOYSA-N,DYDCUQKUCUHJBH-UWTATZPHSA-N,"('DYDCUQKUCUHJBH-UWTATZPHSA-N', 'VVZBFOKBSDGVGZ-UHFFFAOYSA-N')"
benzbromarone,cycloserine d,WHQCHUCQKNIQEC-UHFFFAOYSA-N,DYDCUQKUCUHJBH-UWTATZPHSA-N,"('DYDCUQKUCUHJBH-UWTATZPHSA-N', 'WHQCHUCQKNIQEC-UHFFFAOYSA-N')"
chloramphenicol,cycloserine d,WIIZWVCIJKGZOK-RKDXNWHRSA-N,DYDCUQKUCUHJBH-UWTATZPHSA-N,"('DYDCUQKUCUHJBH-UWTATZPHSA-N', 'WIIZWVCIJKGZOK-RKDXNWHRSA-N')"
cycloserine d,egcg,DYDCUQKUCUHJBH-UWTATZPHSA-N,WMBWREPUVVBILR-WIYYLYMNSA-N,"('DYDCUQKUCUHJBH-UWTATZPHSA-N', 'WMBWREPUVVBILR-WIYYLYMNSA-N')"
cycloserine d,tolfenamic,DYDCUQKUCUHJBH-UWTATZPHSA-N,YEZNLOUZAIOMLT-UHFFFAOYSA-N,"('DYDCUQKUCUHJBH-UWTATZPHSA-N', 'YEZNLOUZAIOMLT-UHFFFAOYSA-N')"
cycloserine d,novobiocin,DYDCUQKUCUHJBH-UWTATZPHSA-N,YJQPYGGHQPGBLI-KGSXXDOSSA-N,"('DYDCUQKUCUHJBH-UWTATZPHSA-N', 'YJQPYGGHQPGBLI-KGSXXDOSSA-N')"
cycloserine d,pyocyanin,DYDCUQKUCUHJBH-UWTATZPHSA-N,YNCMLFHHXWETLD-UHFFFAOYSA-N,"('DYDCUQKUCUHJBH-UWTATZPHSA-N', 'YNCMLFHHXWETLD-UHFFFAOYSA-N')"
cycloserine d,streptozotocin,DYDCUQKUCUHJBH-UWTATZPHSA-N,ZSJLQEPLLKMAKR-GKHCUFPYSA-N,"('DYDCUQKUCUHJBH-UWTATZPHSA-N', 'ZSJLQEPLLKMAKR-GKHCUFPYSA-N')"
cycloserine d,imipenem,DYDCUQKUCUHJBH-UWTATZPHSA-N,ZSKVGTPCRGIANV-ZXFLCMHBSA-N,"('DYDCUQKUCUHJBH-UWTATZPHSA-N', 'ZSKVGTPCRGIANV-ZXFLCMHBSA-N')"
chlorhexidine,moxifloxacin,GHXZTYHSJHQHIJ-UHFFFAOYSA-N,FABPRXSRWADJSP-MEDUHNTESA-N,"('FABPRXSRWADJSP-MEDUHNTESA-N', 'GHXZTYHSJHQHIJ-UHFFFAOYSA-N')"
levofloxacin,moxifloxacin,GSDSWSVVBLHKDQ-JTQLQIEISA-N,FABPRXSRWADJSP-MEDUHNTESA-N,"('FABPRXSRWADJSP-MEDUHNTESA-N', 'GSDSWSVVBLHKDQ-JTQLQIEISA-N')"
cefepime,moxifloxacin,HVFLCNVBZFFHBT-ZKDACBOMSA-N,FABPRXSRWADJSP-MEDUHNTESA-N,"('FABPRXSRWADJSP-MEDUHNTESA-N', 'HVFLCNVBZFFHBT-ZKDACBOMSA-N')"
trimethoprim,moxifloxacin,IEDVJHCEMCRBQM-UHFFFAOYSA-N,FABPRXSRWADJSP-MEDUHNTESA-N,"('FABPRXSRWADJSP-MEDUHNTESA-N', 'IEDVJHCEMCRBQM-UHFFFAOYSA-N')"
piperacillin,moxifloxacin,IVBHGBMCVLDMKU-GXNBUGAJSA-N,FABPRXSRWADJSP-MEDUHNTESA-N,"('FABPRXSRWADJSP-MEDUHNTESA-N', 'IVBHGBMCVLDMKU-GXNBUGAJSA-N')"
cefuroxime,moxifloxacin,JFPVXVDWJQMJEE-IZRZKJBUSA-N,FABPRXSRWADJSP-MEDUHNTESA-N,"('FABPRXSRWADJSP-MEDUHNTESA-N', 'JFPVXVDWJQMJEE-IZRZKJBUSA-N')"
penicillin g,moxifloxacin,JGSARLDLIJGVTE-MBNYWOFBSA-N,FABPRXSRWADJSP-MEDUHNTESA-N,"('FABPRXSRWADJSP-MEDUHNTESA-N', 'JGSARLDLIJGVTE-MBNYWOFBSA-N')"
moxifloxacin,sulfamethoxazol,FABPRXSRWADJSP-MEDUHNTESA-N,JLKIGFTWXXRPMT-UHFFFAOYSA-N,"('FABPRXSRWADJSP-MEDUHNTESA-N', 'JLKIGFTWXXRPMT-UHFFFAOYSA-N')"
amikacin,moxifloxacin,LKCWBDHBTVXHDL-RMDFUYIESA-N,FABPRXSRWADJSP-MEDUHNTESA-N,"('FABPRXSRWADJSP-MEDUHNTESA-N', 'LKCWBDHBTVXHDL-RMDFUYIESA-N')"
a22,moxifloxacin,LZTCFLDZLBOLDW-UHFFFAOYSA-N,FABPRXSRWADJSP-MEDUHNTESA-N,"('FABPRXSRWADJSP-MEDUHNTESA-N', 'LZTCFLDZLBOLDW-UHFFFAOYSA-N')"
procaine,moxifloxacin,MFDFERRIHVXMIY-UHFFFAOYSA-N,FABPRXSRWADJSP-MEDUHNTESA-N,"('FABPRXSRWADJSP-MEDUHNTESA-N', 'MFDFERRIHVXMIY-UHFFFAOYSA-N')"
azithromycin,moxifloxacin,MQTOSJVFKKJCRP-BICOPXKESA-N,FABPRXSRWADJSP-MEDUHNTESA-N,"('FABPRXSRWADJSP-MEDUHNTESA-N', 'MQTOSJVFKKJCRP-BICOPXKESA-N')"
vanillin,moxifloxacin,MWOOGOJBHIARFG-UHFFFAOYSA-N,FABPRXSRWADJSP-MEDUHNTESA-N,"('FABPRXSRWADJSP-MEDUHNTESA-N', 'MWOOGOJBHIARFG-UHFFFAOYSA-N')"
ciprofloxacin,moxifloxacin,MYSWGUAQZAJSOK-UHFFFAOYSA-N,FABPRXSRWADJSP-MEDUHNTESA-N,"('FABPRXSRWADJSP-MEDUHNTESA-N', 'MYSWGUAQZAJSOK-UHFFFAOYSA-N')"
lincomycin,moxifloxacin,OJMMVQQUTAEWLP-KIDUDLJLSA-N,FABPRXSRWADJSP-MEDUHNTESA-N,"('FABPRXSRWADJSP-MEDUHNTESA-N', 'OJMMVQQUTAEWLP-KIDUDLJLSA-N')"
bleomycin,moxifloxacin,OYVAGSVQBOHSSS-WXFSZRTFSA-O,FABPRXSRWADJSP-MEDUHNTESA-N,"('FABPRXSRWADJSP-MEDUHNTESA-N', 'OYVAGSVQBOHSSS-WXFSZRTFSA-O')"
caffeine,moxifloxacin,RYYVLZVUVIJVGH-UHFFFAOYSA-N,FABPRXSRWADJSP-MEDUHNTESA-N,"('FABPRXSRWADJSP-MEDUHNTESA-N', 'RYYVLZVUVIJVGH-UHFFFAOYSA-N')"
cccp,moxifloxacin,UGTJLJZQQFGTJD-UHFFFAOYSA-N,FABPRXSRWADJSP-MEDUHNTESA-N,"('FABPRXSRWADJSP-MEDUHNTESA-N', 'UGTJLJZQQFGTJD-UHFFFAOYSA-N')"
erythromycin,moxifloxacin,ULGZDMOVFRHVEP-RWJQBGPGSA-N,FABPRXSRWADJSP-MEDUHNTESA-N,"('FABPRXSRWADJSP-MEDUHNTESA-N', 'ULGZDMOVFRHVEP-RWJQBGPGSA-N')"
spectinomycin,moxifloxacin,UNFWWIHTNXNPBV-WXKVUWSESA-N,FABPRXSRWADJSP-MEDUHNTESA-N,"('FABPRXSRWADJSP-MEDUHNTESA-N', 'UNFWWIHTNXNPBV-WXKVUWSESA-N')"
metronidazole,moxifloxacin,VAOCPAMSLUNLGC-UHFFFAOYSA-N,FABPRXSRWADJSP-MEDUHNTESA-N,"('FABPRXSRWADJSP-MEDUHNTESA-N', 'VAOCPAMSLUNLGC-UHFFFAOYSA-N')"
benzalkonium,moxifloxacin,VVZBFOKBSDGVGZ-UHFFFAOYSA-N,FABPRXSRWADJSP-MEDUHNTESA-N,"('FABPRXSRWADJSP-MEDUHNTESA-N', 'VVZBFOKBSDGVGZ-UHFFFAOYSA-N')"
clofazimine,moxifloxacin,WDQPAMHFFCXSNU-UHFFFAOYSA-N,FABPRXSRWADJSP-MEDUHNTESA-N,"('FABPRXSRWADJSP-MEDUHNTESA-N', 'WDQPAMHFFCXSNU-UHFFFAOYSA-N')"
chloramphenicol,moxifloxacin,WIIZWVCIJKGZOK-RKDXNWHRSA-N,FABPRXSRWADJSP-MEDUHNTESA-N,"('FABPRXSRWADJSP-MEDUHNTESA-N', 'WIIZWVCIJKGZOK-RKDXNWHRSA-N')"
egcg,moxifloxacin,WMBWREPUVVBILR-WIYYLYMNSA-N,FABPRXSRWADJSP-MEDUHNTESA-N,"('FABPRXSRWADJSP-MEDUHNTESA-N', 'WMBWREPUVVBILR-WIYYLYMNSA-N')"
moxifloxacin,tedizolid,FABPRXSRWADJSP-MEDUHNTESA-N,XFALPSLJIHVRKE-GFCCVEGCSA-N,"('FABPRXSRWADJSP-MEDUHNTESA-N', 'XFALPSLJIHVRKE-GFCCVEGCSA-N')"
moxifloxacin,tolfenamic,FABPRXSRWADJSP-MEDUHNTESA-N,YEZNLOUZAIOMLT-UHFFFAOYSA-N,"('FABPRXSRWADJSP-MEDUHNTESA-N', 'YEZNLOUZAIOMLT-UHFFFAOYSA-N')"
novobiocin,moxifloxacin,YJQPYGGHQPGBLI-KGSXXDOSSA-N,FABPRXSRWADJSP-MEDUHNTESA-N,"('FABPRXSRWADJSP-MEDUHNTESA-N', 'YJQPYGGHQPGBLI-KGSXXDOSSA-N')"
fosfomycin,moxifloxacin,YMDXZJFXQJVXBF-STHAYSLISA-N,FABPRXSRWADJSP-MEDUHNTESA-N,"('FABPRXSRWADJSP-MEDUHNTESA-N', 'YMDXZJFXQJVXBF-STHAYSLISA-N')"
pyocyanin,moxifloxacin,YNCMLFHHXWETLD-UHFFFAOYSA-N,FABPRXSRWADJSP-MEDUHNTESA-N,"('FABPRXSRWADJSP-MEDUHNTESA-N', 'YNCMLFHHXWETLD-UHFFFAOYSA-N')"
moxifloxacin,streptozotocin,FABPRXSRWADJSP-MEDUHNTESA-N,ZSJLQEPLLKMAKR-GKHCUFPYSA-N,"('FABPRXSRWADJSP-MEDUHNTESA-N', 'ZSJLQEPLLKMAKR-GKHCUFPYSA-N')"
imipenem,moxifloxacin,ZSKVGTPCRGIANV-ZXFLCMHBSA-N,FABPRXSRWADJSP-MEDUHNTESA-N,"('FABPRXSRWADJSP-MEDUHNTESA-N', 'ZSKVGTPCRGIANV-ZXFLCMHBSA-N')"
methotrexate,trimethoprim,FBOZXECLQNJBKD-ZDUSSCGKSA-N,IEDVJHCEMCRBQM-UHFFFAOYSA-N,"('FBOZXECLQNJBKD-ZDUSSCGKSA-N', 'IEDVJHCEMCRBQM-UHFFFAOYSA-N')"
methotrexate,penicillin g,FBOZXECLQNJBKD-ZDUSSCGKSA-N,JGSARLDLIJGVTE-MBNYWOFBSA-N,"('FBOZXECLQNJBKD-ZDUSSCGKSA-N', 'JGSARLDLIJGVTE-MBNYWOFBSA-N')"
cefotaxime,chir-90,GPRBEKHLDVQUJE-QSWIMTSFSA-N,FQYBTYFKOHPWQT-VGSWGCGISA-N,"('FQYBTYFKOHPWQT-VGSWGCGISA-N', 'GPRBEKHLDVQUJE-QSWIMTSFSA-N')"
fusidic acid,chir-90,IECPWNUMDGFDKC-MZJAQBGESA-N,FQYBTYFKOHPWQT-VGSWGCGISA-N,"('FQYBTYFKOHPWQT-VGSWGCGISA-N', 'IECPWNUMDGFDKC-MZJAQBGESA-N')"
trimethoprim,chir-90,IEDVJHCEMCRBQM-UHFFFAOYSA-N,FQYBTYFKOHPWQT-VGSWGCGISA-N,"('FQYBTYFKOHPWQT-VGSWGCGISA-N', 'IEDVJHCEMCRBQM-UHFFFAOYSA-N')"
piperacillin,chir-90,IVBHGBMCVLDMKU-GXNBUGAJSA-N,FQYBTYFKOHPWQT-VGSWGCGISA-N,"('FQYBTYFKOHPWQT-VGSWGCGISA-N', 'IVBHGBMCVLDMKU-GXNBUGAJSA-N')"
penicillin g,chir-90,JGSARLDLIJGVTE-MBNYWOFBSA-N,FQYBTYFKOHPWQT-VGSWGCGISA-N,"('FQYBTYFKOHPWQT-VGSWGCGISA-N', 'JGSARLDLIJGVTE-MBNYWOFBSA-N')"
rifampicin,chir-90,JQXXHWHPUNPDRT-WLSIYKJHSA-N,FQYBTYFKOHPWQT-VGSWGCGISA-N,"('FQYBTYFKOHPWQT-VGSWGCGISA-N', 'JQXXHWHPUNPDRT-WLSIYKJHSA-N')"
clindamycin,chir-90,KDLRVYVGXIQJDK-AWPVFWJPSA-N,FQYBTYFKOHPWQT-VGSWGCGISA-N,"('FQYBTYFKOHPWQT-VGSWGCGISA-N', 'KDLRVYVGXIQJDK-AWPVFWJPSA-N')"
pseudomonic acid,chir-90,MINDHVHHQZYEEK-HBBNESRFSA-N,FQYBTYFKOHPWQT-VGSWGCGISA-N,"('FQYBTYFKOHPWQT-VGSWGCGISA-N', 'MINDHVHHQZYEEK-HBBNESRFSA-N')"
vanillin,chir-90,MWOOGOJBHIARFG-UHFFFAOYSA-N,FQYBTYFKOHPWQT-VGSWGCGISA-N,"('FQYBTYFKOHPWQT-VGSWGCGISA-N', 'MWOOGOJBHIARFG-UHFFFAOYSA-N')"
ciprofloxacin,chir-90,MYSWGUAQZAJSOK-UHFFFAOYSA-N,FQYBTYFKOHPWQT-VGSWGCGISA-N,"('FQYBTYFKOHPWQT-VGSWGCGISA-N', 'MYSWGUAQZAJSOK-UHFFFAOYSA-N')"
nitrofurantoin,chir-90,NXFQHRVNIOXGAQ-YCRREMRBSA-N,FQYBTYFKOHPWQT-VGSWGCGISA-N,"('FQYBTYFKOHPWQT-VGSWGCGISA-N', 'NXFQHRVNIOXGAQ-YCRREMRBSA-N')"
bleomycin,chir-90,OYVAGSVQBOHSSS-WXFSZRTFSA-O,FQYBTYFKOHPWQT-VGSWGCGISA-N,"('FQYBTYFKOHPWQT-VGSWGCGISA-N', 'OYVAGSVQBOHSSS-WXFSZRTFSA-O')"
erythromycin,chir-90,ULGZDMOVFRHVEP-RWJQBGPGSA-N,FQYBTYFKOHPWQT-VGSWGCGISA-N,"('FQYBTYFKOHPWQT-VGSWGCGISA-N', 'ULGZDMOVFRHVEP-RWJQBGPGSA-N')"
oxacillin,chir-90,UWYHMGVUTGAWSP-JKIFEVAISA-N,FQYBTYFKOHPWQT-VGSWGCGISA-N,"('FQYBTYFKOHPWQT-VGSWGCGISA-N', 'UWYHMGVUTGAWSP-JKIFEVAISA-N')"
clofazimine,chir-90,WDQPAMHFFCXSNU-UHFFFAOYSA-N,FQYBTYFKOHPWQT-VGSWGCGISA-N,"('FQYBTYFKOHPWQT-VGSWGCGISA-N', 'WDQPAMHFFCXSNU-UHFFFAOYSA-N')"
chloramphenicol,chir-90,WIIZWVCIJKGZOK-RKDXNWHRSA-N,FQYBTYFKOHPWQT-VGSWGCGISA-N,"('FQYBTYFKOHPWQT-VGSWGCGISA-N', 'WIIZWVCIJKGZOK-RKDXNWHRSA-N')"
polymyxin b,chir-90,WQVJHHACXVLGBL-BPJDFBQWSA-N,FQYBTYFKOHPWQT-VGSWGCGISA-N,"('FQYBTYFKOHPWQT-VGSWGCGISA-N', 'WQVJHHACXVLGBL-BPJDFBQWSA-N')"
