Drug A,Drug B,Drug A Inchikey,Drug B Inchikey,Drug Pair
clarithromycin,trimethoprim,AGOYDEPGAOXOCK-KCBOHYOISA-N,IEDVJHCEMCRBQM-UHFFFAOYSA-N,"('AGOYDEPGAOXOCK-KCBOHYOISA-N', 'IEDVJHCEMCRBQM-UHFFFAOYSA-N')"
piperacillin,clarithromycin,IVBHGBMCVLDMKU-GXNBUGAJSA-N,AGOYDEPGAOXOCK-KCBOHYOISA-N,"('AGOYDEPGAOXOCK-KCBOHYOISA-N', 'IVBHGBMCVLDMKU-GXNBUGAJSA-N')"
penicillin g,clarithromycin,JGSARLDLIJGVTE-MBNYWOFBSA-N,AGOYDEPGAOXOCK-KCBOHYOISA-N,"('AGOYDEPGAOXOCK-KCBOHYOISA-N', 'JGSARLDLIJGVTE-MBNYWOFBSA-N')"
clindamycin,clarithromycin,KDLRVYVGXIQJDK-AWPVFWJPSA-N,AGOYDEPGAOXOCK-KCBOHYOISA-N,"('AGOYDEPGAOXOCK-KCBOHYOISA-N', 'KDLRVYVGXIQJDK-AWPVFWJPSA-N')"
amikacin,clarithromycin,LKCWBDHBTVXHDL-RMDFUYIESA-N,AGOYDEPGAOXOCK-KCBOHYOISA-N,"('AGOYDEPGAOXOCK-KCBOHYOISA-N', 'LKCWBDHBTVXHDL-RMDFUYIESA-N')"
amoxicillin,clarithromycin,LSQZJLSUYDQPKJ-NJBDSQKTSA-N,AGOYDEPGAOXOCK-KCBOHYOISA-N,"('AGOYDEPGAOXOCK-KCBOHYOISA-N', 'LSQZJLSUYDQPKJ-NJBDSQKTSA-N')"
procaine,clarithromycin,MFDFERRIHVXMIY-UHFFFAOYSA-N,AGOYDEPGAOXOCK-KCBOHYOISA-N,"('AGOYDEPGAOXOCK-KCBOHYOISA-N', 'MFDFERRIHVXMIY-UHFFFAOYSA-N')"
clarithromycin,thymol,AGOYDEPGAOXOCK-KCBOHYOISA-N,MGSRCZKZVOBKFT-UHFFFAOYSA-N,"('AGOYDEPGAOXOCK-KCBOHYOISA-N', 'MGSRCZKZVOBKFT-UHFFFAOYSA-N')"
clarithromycin,azithromycin,AGOYDEPGAOXOCK-KCBOHYOISA-N,MQTOSJVFKKJCRP-BICOPXKESA-N,"('AGOYDEPGAOXOCK-KCBOHYOISA-N', 'MQTOSJVFKKJCRP-BICOPXKESA-N')"
ciprofloxacin,clarithromycin,MYSWGUAQZAJSOK-UHFFFAOYSA-N,AGOYDEPGAOXOCK-KCBOHYOISA-N,"('AGOYDEPGAOXOCK-KCBOHYOISA-N', 'MYSWGUAQZAJSOK-UHFFFAOYSA-N')"
