compound,inchikey
sulfamethoxazol,JLKIGFTWXXRPMT-UHFFFAOYSA-N
sulfamonomethoxine,WMPXPUYPYQKQCX-UHFFFAOYSA-N
tamoxifene,NKANXQFJJICGDU-QPLCGJKRSA-N
tedizolid,XFALPSLJIHVRKE-GFCCVEGCSA-N
teicoplanin,BJNLLBUOHPVGFT-CAYRISATSA-N
telithromycin,LJVAJPDWBABPEJ-PNUFFHFMSA-N
thymol,MGSRCZKZVOBKFT-UHFFFAOYSA-N
ticagrelor,OEKWJQXRCDYSHL-FNOIDJSQSA-N
tobramycin,NLVFBUXFDBBNBW-PBSUHMDJSA-N
tolfenamic,YEZNLOUZAIOMLT-UHFFFAOYSA-N
triclosan,XEFQLINVKFYRCS-UHFFFAOYSA-N
trimethoprim,IEDVJHCEMCRBQM-UHFFFAOYSA-N
vancomycin,MYPYJXKWCTUITO-LYRMYLQWSA-N
vanillin,MWOOGOJBHIARFG-UHFFFAOYSA-N
virginiamycin m1,DAIKHDNSXMZDCU-FQTGFAPKSA-N
