elementwise_feature,metric,base_feature,space,dimension
cos_elem_2019,cosine,dim_2019,CC,2019
euc_elem_394,euclidean,dim_394,CC,394
euc_elem_2474,euclidean,dim_2474,CC,2474
euc_elem_2523,euclidean,dim_2523,CC,2523
euc_elem_747,euclidean,dim_747,CC,747
cos_elem_2805,cosine,dim_2805,CC,2805
euc_elem_1214,euclidean,dim_1214,CC,1214
euc_elem_1035,euclidean,dim_1035,CC,1035
cos_elem_1752,cosine,dim_1752,CC,1752
cos_elem_476,cosine,dim_476,CC,476
cos_elem_446,cosine,dim_446,CC,446
euc_elem_2286,euclidean,dim_2286,CC,2286
cos_elem_2587,cosine,dim_2587,CC,2587
cos_elem_2246,cosine,dim_2246,CC,2246
euc_elem_963,euclidean,dim_963,CC,963
cos_elem_1214,cosine,dim_1214,CC,1214
euc_elem_3034,euclidean,dim_3034,CC,3034
euc_elem_1560,euclidean,dim_1560,CC,1560
euc_elem_51,euclidean,dim_51,CC,51
euc_elem_652,euclidean,dim_652,CC,652
euc_elem_654,euclidean,dim_654,CC,654
euc_elem_1915,euclidean,dim_1915,CC,1915
cos_elem_2409,cosine,dim_2409,CC,2409
cos_elem_3014,cosine,dim_3014,CC,3014
euc_elem_892,euclidean,dim_892,CC,892
euc_elem_886,euclidean,dim_886,CC,886
euc_elem_2450,euclidean,dim_2450,CC,2450
cos_elem_1489,cosine,dim_1489,CC,1489
euc_elem_814,euclidean,dim_814,CC,814
euc_elem_647,euclidean,dim_647,CC,647
cos_elem_1882,cosine,dim_1882,CC,1882
euc_elem_2185,euclidean,dim_2185,CC,2185
euc_elem_313,euclidean,dim_313,CC,313
cos_elem_2450,cosine,dim_2450,CC,2450
euc_elem_2457,euclidean,dim_2457,CC,2457
cos_elem_445,cosine,dim_445,CC,445
cos_elem_2866,cosine,dim_2866,CC,2866
euc_elem_2652,euclidean,dim_2652,CC,2652
cos_elem_444,cosine,dim_444,CC,444
cos_elem_1079,cosine,dim_1079,CC,1079
cos_elem_3033,cosine,dim_3033,CC,3033
cos_elem_791,cosine,dim_791,CC,791
euc_elem_1883,euclidean,dim_1883,CC,1883
euc_elem_834,euclidean,dim_834,CC,834
euc_elem_715,euclidean,dim_715,CC,715
euc_elem_2360,euclidean,dim_2360,CC,2360
euc_elem_679,euclidean,dim_679,CC,679
cos_elem_2787,cosine,dim_2787,CC,2787
cos_elem_2209,cosine,dim_2209,CC,2209
cos_elem_1372,cosine,dim_1372,CC,1372
euc_elem_1550,euclidean,dim_1550,CC,1550
cos_elem_2136,cosine,dim_2136,CC,2136
euc_elem_1173,euclidean,dim_1173,CC,1173
euc_elem_1398,euclidean,dim_1398,CC,1398
cos_elem_2292,cosine,dim_2292,CC,2292
euc_elem_2104,euclidean,dim_2104,CC,2104
cos_elem_1754,cosine,dim_1754,CC,1754
cos_elem_1183,cosine,dim_1183,CC,1183
cos_elem_812,cosine,dim_812,CC,812
cos_elem_799,cosine,dim_799,CC,799
euc_elem_1900,euclidean,dim_1900,CC,1900
cos_elem_2489,cosine,dim_2489,CC,2489
euc_elem_1423,euclidean,dim_1423,CC,1423
cos_elem_663,cosine,dim_663,CC,663
cos_elem_2011,cosine,dim_2011,CC,2011
euc_elem_2487,euclidean,dim_2487,CC,2487
cos_elem_2612,cosine,dim_2612,CC,2612
cos_elem_1139,cosine,dim_1139,CC,1139
euc_elem_70,euclidean,dim_70,CC,70
euc_elem_698,euclidean,dim_698,CC,698
euc_elem_202,euclidean,dim_202,CC,202
euc_elem_302,euclidean,dim_302,CC,302
cos_elem_1087,cosine,dim_1087,CC,1087
cos_elem_2311,cosine,dim_2311,CC,2311
euc_elem_1470,euclidean,dim_1470,CC,1470
euc_elem_835,euclidean,dim_835,CC,835
cos_elem_1470,cosine,dim_1470,CC,1470
euc_elem_1743,euclidean,dim_1743,CC,1743
cos_elem_2461,cosine,dim_2461,CC,2461
cos_elem_2663,cosine,dim_2663,CC,2663
euc_elem_2736,euclidean,dim_2736,CC,2736
euc_elem_439,euclidean,dim_439,CC,439
euc_elem_436,euclidean,dim_436,CC,436
euc_elem_2866,euclidean,dim_2866,CC,2866
cos_elem_784,cosine,dim_784,CC,784
euc_elem_967,euclidean,dim_967,CC,967
euc_elem_744,euclidean,dim_744,CC,744
cos_elem_2412,cosine,dim_2412,CC,2412
cos_elem_2407,cosine,dim_2407,CC,2407
euc_elem_446,euclidean,dim_446,CC,446
cos_elem_859,cosine,dim_859,CC,859
euc_elem_1545,euclidean,dim_1545,CC,1545
euc_elem_2882,euclidean,dim_2882,CC,2882
cos_elem_202,cosine,dim_202,CC,202
euc_elem_667,euclidean,dim_667,CC,667
euc_elem_2612,euclidean,dim_2612,CC,2612
euc_elem_1488,euclidean,dim_1488,CC,1488
euc_elem_2935,euclidean,dim_2935,CC,2935
euc_elem_1802,euclidean,dim_1802,CC,1802
cos_elem_1722,cosine,dim_1722,CC,1722
cos_elem_2642,cosine,dim_2642,CC,2642
cos_elem_486,cosine,dim_486,CC,486
euc_elem_3121,euclidean,dim_3121,CC,3121
euc_elem_2246,euclidean,dim_2246,CC,2246
euc_elem_2889,euclidean,dim_2889,CC,2889
euc_elem_1727,euclidean,dim_1727,CC,1727
cos_elem_2799,cosine,dim_2799,CC,2799
cos_elem_963,cosine,dim_963,CC,963
euc_elem_3165,euclidean,dim_3165,CC,3165
euc_elem_254,euclidean,dim_254,CC,254
euc_elem_2741,euclidean,dim_2741,CC,2741
euc_elem_1693,euclidean,dim_1693,CC,1693
euc_elem_2069,euclidean,dim_2069,CC,2069
euc_elem_1340,euclidean,dim_1340,CC,1340
cos_elem_2258,cosine,dim_2258,CC,2258
euc_elem_1493,euclidean,dim_1493,CC,1493
euc_elem_3303,euclidean,s_103,S,103
euc_elem_938,euclidean,dim_938,CC,938
euc_elem_703,euclidean,dim_703,CC,703
euc_elem_3044,euclidean,dim_3044,CC,3044
euc_elem_424,euclidean,dim_424,CC,424
cos_elem_1565,cosine,dim_1565,CC,1565
cos_elem_741,cosine,dim_741,CC,741
cos_elem_715,cosine,dim_715,CC,715
cos_elem_756,cosine,dim_756,CC,756
euc_elem_1882,euclidean,dim_1882,CC,1882
cos_elem_2375,cosine,dim_2375,CC,2375
euc_elem_2407,euclidean,dim_2407,CC,2407
cos_elem_1744,cosine,dim_1744,CC,1744
euc_elem_2181,euclidean,dim_2181,CC,2181
