feature,importance_gain_mean,importance_gain_std
cos_elem_2219,479.68925181031227,87.06535213532077
cos_elem_2434,366.43130244016646,54.82853585368074
euc_elem_1314,341.4876221269369,146.10159602818723
euc_elem_1398,301.98441209197046,166.90094107729652
cos_elem_430,284.6930599987507,126.95852774642742
euc_elem_430,249.7684938967228,126.82355687938372
cos_elem_738,239.8116780936718,122.91101694463514
euc_elem_1926,236.4722128391266,82.48755258017896
euc_elem_635,234.03055858016015,35.18932689334529
euc_elem_2219,223.4784151494503,93.45795853734175
euc_elem_2226,215.26174143254758,132.1775376365906
cos_elem_2602,214.9266438603401,133.10972370526605
cos_elem_2226,213.28674453496933,125.87974488024233
cos_elem_1856,197.78610393702985,207.89572423705079
euc_elem_1633,196.4656597137451,72.34728820957858
euc_elem_963,179.11910371184348,150.14067940052885
euc_elem_2771,175.10161848068236,156.21964542238993
cos_elem_1398,171.55136935710908,115.13511464433897
cos_elem_1926,169.4751623392105,105.20324088655521
euc_elem_2602,163.7755742609501,92.73048411269905
euc_elem_2258,162.6265115082264,121.13915676673929
euc_elem_1390,162.24646024107932,82.008992512548
euc_elem_1401,157.4859210923314,105.92757653784345
cos_elem_1390,153.78387980461122,55.39551303865865
cos_elem_1124,153.0094070672989,101.97973398420892
cos_elem_814,150.5008746445179,130.3198616768001
euc_elem_2717,146.44059972018005,64.95174700328269
euc_elem_1284,144.9567291378975,108.81575125314637
euc_elem_1289,144.8673689484596,61.545525585814886
cos_elem_3190,144.60289896726607,68.12217586922375
cos_elem_434,144.56256670355796,80.47201994026626
cos_elem_2409,142.28913864195346,51.2189266475116
cos_elem_654,139.93192106485367,38.846637406858385
euc_elem_2292,138.24923245310782,62.03507602752756
euc_elem_3141,138.2224451839924,70.7824713052727
euc_elem_2434,137.26905898153782,51.97161220691211
cos_elem_444,137.21168000996113,25.286819656476194
cos_elem_2930,136.49118387252093,82.02323375658044
euc_elem_2461,136.03031898885965,39.983673264267516
euc_elem_3172,135.5882921397686,64.27174114437966
cos_elem_1284,134.24879458546638,86.36029401090026
cos_elem_2461,133.43748755455016,53.16588228081537
cos_elem_881,133.1382835611701,71.37642481496734
euc_elem_1340,133.10139268040658,82.78914895140969
cos_elem_1470,131.77642163038254,48.120373319538416
cos_elem_450,131.5908348441124,20.89984220293369
cos_elem_2652,129.32368972152472,59.07453220433983
cos_elem_2944,127.38787713646889,71.65412610232288
euc_elem_2409,126.35306351184845,80.49758309499198
euc_elem_1809,124.44122368097305,50.02682566684256
cos_elem_1481,124.16294929981231,86.74093122721436
cos_elem_1173,123.77050595879555,46.54285248816751
euc_elem_652,123.50124827623367,128.53516256642592
euc_elem_790,123.18497474789619,72.28854299317247
cos_elem_2366,122.4336539208889,84.4268216374937
euc_elem_476,120.55228478312492,43.99351439551176
euc_elem_2246,118.8678256392479,34.29282794059678
euc_elem_722,117.40355896949768,47.48195744211484
euc_elem_2725,116.9226111382246,52.745221918970564
cos_elem_307,116.17818904817105,28.615204516414053
cos_elem_254,116.10389342904091,30.644319157619783
cos_elem_2587,116.02888289690017,84.71909459198149
euc_elem_1470,115.66606543511152,61.79203339057671
euc_elem_1183,115.64265819489955,54.04202848842543
euc_elem_90,115.57038784623145,81.49170080718805
euc_elem_202,114.49649741649628,66.36026981198827
euc_elem_744,114.44190639257431,96.92932726304046
euc_elem_968,113.06066254377365,31.894832678095728
euc_elem_1567,112.8188991189003,62.9296430344989
cos_elem_2913,111.67969532907009,56.44845149225871
euc_elem_1265,111.51868000924587,52.970207769993586
euc_elem_602,110.95858619809151,58.460377125535274
euc_elem_436,109.55264448225498,48.34380732164509
euc_elem_1967,106.48650864064693,58.29215824328716
euc_elem_799,105.98955226540565,25.91248603612274
euc_elem_2840,105.98854650259018,70.65147033616068
cos_elem_652,105.7005373597145,43.13361345690971
euc_elem_2580,105.60782000422478,20.22821327070103
euc_elem_886,103.6647842168808,95.43577390982877
euc_elem_784,102.88495621681213,58.20891074171205
euc_elem_3044,101.77474493980408,82.34192842463486
euc_elem_2286,101.58893495202065,46.29329781343066
cos_elem_2136,101.16460715830326,75.06689699659303
cos_elem_1920,101.10287932753563,37.44196901085925
euc_elem_2930,100.39493950009346,57.27193688123183
cos_elem_1172,99.68024992793798,62.71454860403071
euc_elem_2347,97.83926641643048,48.41150109592741
euc_elem_1060,97.40050442814827,89.37329578030025
cos_elem_3172,97.22031099200248,52.42101857771113
euc_elem_1461,97.13594437837601,44.811850147141655
cos_elem_3038,96.90515252351761,34.5279126534549
cos_elem_859,96.75426943302155,77.87843433715034
euc_elem_2209,96.4096461713314,69.03623186288993
euc_elem_1833,96.16909036040306,101.85809555437929
euc_elem_294,95.82713238000869,86.68248248253629
cos_elem_3121,94.96341934800148,45.80718105338899
cos_elem_963,94.8363422036171,66.38007433096946
cos_elem_2840,94.3997909605503,78.87361392369947
cos_elem_482,92.92852155864239,91.27445288439078
euc_elem_1640,92.76285311281681,39.72764623976146
cos_elem_1183,92.67946308255196,25.51557009927603
cos_elem_356,92.22042120099067,34.09960009273548
cos_elem_2246,89.41323778629302,61.4478455503539
cos_elem_1604,88.34554911702871,38.681952072763394
euc_elem_2920,87.80506572425365,67.46319736593459
cos_elem_2725,87.77195164561272,67.13185284719982
cos_elem_400,87.73586298525333,71.8423662263964
euc_elem_2523,86.75380737185478,51.05584172433665
euc_elem_2423,85.88545962870121,8.151016527737049
cos_elem_2155,85.10838131606579,23.04773631120936
cos_elem_635,85.09634730517864,34.59262838368682
euc_elem_2366,84.78156042098999,56.84524025345282
euc_elem_2688,83.55707563757896,60.07895904708633
euc_elem_751,82.81837690323592,107.94822088191277
cos_elem_2258,82.69562881290912,70.17244894992878
euc_elem_723,82.68373635411263,42.96474178049911
cos_elem_1827,82.31458953022957,51.90679753611688
euc_elem_922,82.2365740776062,51.30377411676754
cos_elem_967,81.99814392328263,43.64073960252083
euc_elem_3031,81.9770789116621,57.0918378959789
euc_elem_94,81.82487941980362,30.38557908133111
cos_elem_2286,81.67216379642487,30.17134215006683
euc_elem_2627,81.63480116128922,57.73950186568294
cos_elem_2886,81.63389249444008,65.2808961582486
euc_elem_307,80.81629029363394,28.924658089652258
euc_elem_2736,80.4477561429143,91.22991921009988
cos_elem_2419,80.11820151805878,23.788996859946234
euc_elem_2360,79.79505738019944,30.5995193946876
euc_elem_77,79.77355361878872,43.94466013596008
euc_elem_356,79.21872409582139,8.449326408323305
cos_elem_2336,79.07411245405675,43.721362189630575
euc_elem_903,78.40660690069198,51.3901771691867
euc_elem_3195,77.54496138095855,29.805357801155946
euc_elem_1827,76.86318925768137,36.51139325818727
euc_elem_1666,76.43962969779969,77.19972270177371
euc_elem_3327,76.38794335722923,44.21897178420585
cos_elem_2717,76.08195535838604,20.309309215303834
cos_elem_3294,76.07134149074554,48.07392503112461
cos_elem_1816,75.74876644015312,65.29784441400741
cos_elem_790,75.57217013835907,30.5537875873238
cos_elem_1896,74.66974321156741,44.71623213753804
cos_elem_2274,74.07357401251792,45.013590354269944
cos_elem_3186,73.57819098830223,39.59806242991233
euc_elem_2790,73.43432018458843,36.489905955701765
euc_elem_439,73.1589961156249,53.47446054522872
euc_elem_3121,73.06614110469818,30.10142032029861
euc_elem_444,72.97797428965569,38.87229762753332
euc_elem_2880,72.3768514752388,40.933428842604485
euc_elem_154,72.26391909718514,52.32072794706237
euc_elem_2181,72.08820081651211,45.26457092351224
euc_elem_3001,71.73343568444253,22.497972949534578
cos_elem_2019,71.67289228737354,52.44006477423665
euc_elem_2199,71.48622296452523,41.26119065135078
cos_elem_1882,71.39836857914925,69.45880680871569
euc_elem_2983,71.11673918366432,44.92186217438332
euc_elem_1120,71.06497959494591,65.1671836162613
euc_elem_2889,70.68635042905808,29.99838451151042
euc_elem_2860,70.64742535948753,48.369814453435225
cos_elem_1387,69.9873103812337,42.149039490595534
euc_elem_1920,69.97791882455348,31.237133680698257
euc_elem_2353,69.60839402973652,12.675642711647152
euc_elem_698,69.45303350687027,50.390043760359205
cos_elem_55,69.40457577109336,69.84528815453497
euc_elem_1488,69.27382788360119,51.164630553365335
euc_elem_19,69.26780070066452,23.688022613366144
cos_elem_1550,69.23134762048721,46.87291140593986
euc_elem_2229,69.13128830194474,53.893797091247414
cos_elem_1912,68.86635076999664,43.09066843754741
cos_elem_1273,68.51290266066789,45.24409837502389
cos_elem_1544,68.24240209758281,46.58300536427058
euc_elem_654,67.92535623013973,32.39300535758443
cos_elem_917,67.30365372598172,32.07724973881022
euc_elem_2869,67.2988141745329,21.128658923548922
cos_elem_783,67.18061023950577,21.937374450557655
euc_elem_254,67.09234046339989,31.545453414576162
euc_elem_812,67.02396958768368,21.42326168809367
euc_elem_2923,66.87498328238726,27.283887461663422
cos_elem_3302,66.84578201174736,40.991323168773455
cos_elem_3193,66.06417373418807,37.46207045425185
euc_elem_1202,65.94483046531677,46.101007326031564
cos_elem_2047,65.34380097687244,30.965264759984123
euc_elem_2375,65.12876717448235,32.746506427023746
cos_elem_3044,64.91720526814461,59.00068141543174
cos_elem_371,64.64542974382638,18.50409430229433
cos_elem_784,64.32659291923046,42.71127350553805
euc_elem_2133,64.16445538401604,38.39223713148319
euc_elem_1560,63.91444294452667,27.64713534908929
euc_elem_1372,63.84269838929176,55.87223093820316
cos_elem_3300,63.80929048657417,25.380121192765333
cos_elem_2181,63.737502524256705,28.292827684689684
cos_elem_722,63.68451406061649,26.14368421827877
euc_elem_3190,63.654693669080736,31.17383323718481
cos_elem_653,63.40968008637428,22.12590049863099
euc_elem_51,63.31718630790711,30.024082847486135
euc_elem_2473,63.20495894551277,22.678812906306586
cos_elem_2355,62.73539724498987,52.20936773077769
euc_elem_2155,62.45493667721748,37.278388366221115
euc_elem_2301,62.358987908065316,36.294203457953
euc_elem_982,62.27985683381557,28.027653776476356
cos_elem_1685,62.17428464889527,57.712836165778576
cos_elem_698,61.99283455610275,20.935783701719078
euc_elem_2436,61.855510181188585,43.89997310730307
euc_elem_1632,61.78731222450733,41.578210397279484
cos_elem_2375,61.77800517380238,68.41863945038672
cos_elem_789,61.5064355969429,40.00009538696692
euc_elem_2944,61.40508092641831,64.38183712844004
cos_elem_2292,61.211847035586835,44.28940722086764
euc_elem_313,61.02737609148026,38.624418839903846
cos_elem_1340,60.751387318968774,46.8538984081057
euc_elem_1554,60.657207685709,23.544705529742444
euc_elem_3217,60.38921182155609,33.70167332398265
euc_elem_534,60.22829174399376,34.02817690986855
cos_elem_2819,60.14115363359451,44.02894027833105
euc_elem_2419,60.11302665919065,18.698381408559214
cos_elem_2301,59.910762768983844,42.47703503484681
euc_elem_2577,59.67212792634964,25.602391010785293
cos_elem_2688,59.606191927194594,57.562940121570485
cos_elem_2627,59.50447135269642,21.74299991959518
cos_elem_2790,59.46577948331833,36.48927521260384
euc_elem_2463,59.3869064450264,22.10297176046735
euc_elem_731,59.27068162560463,39.19308784098376
euc_elem_2794,59.03761535137892,51.692657837947685
euc_elem_917,58.53202051818371,29.066453771654995
euc_elem_2489,58.50678978413343,28.467199815562708
cos_elem_1372,58.239883956313136,27.29281651678673
cos_elem_1582,58.181314933300015,31.627011245897393
euc_elem_2693,58.1619072675705,20.855681196281754
euc_elem_2587,58.13299125134945,52.890213354291745
cos_elem_2489,58.060192567110064,19.193128699707934
cos_elem_1226,57.93765597939491,43.33119640035546
euc_elem_1173,57.82942789196968,27.934834427284255
