	0	1	2	3	4
actoxuheucptew-ceuobaopsa-n	-0.315121486355572	0.4895340047314599	-0.015464439789033141	-0.013545450734057912	-0.018897073880363244
agoydepgaoxock-kcbohyoisa-n	-0.5062673693806556	-0.29599397177214093	-0.08600289588445366	0.037746621037813455	0.0016498515052594694
aojjsuzboxzqnb-tzssrymlsa-n	1.303933934211654	0.2967431534914381	0.210410194856133	0.014060739244042612	-0.4047215360855925
aujrcfubupvwsz-xtzhgvarsa-m	-0.5062673693806556	-0.29599397177214093	-0.08600289588445366	0.037746621037813455	0.0016498515052594694
bjnllbuohpvgft-cayrisatsa-n	1.1217140132970487	0.5815828027478777	-0.49303563415609397	0.20963701620924485	-0.2104374881470565
bsynrymutxbxsq-uhfffaoysa-n	-0.12989219348296854	0.08278982552665298	0.5796702658559115	-0.47575881646068663	-0.08995491176264196
bwwvaeolvktzfq-ntznesfssa-n	-0.48005376524863436	-0.2285182119546498	-0.02103524203786869	0.07612712957155496	-0.04831655126141188
byblewfaakgycd-uhfffaoysa-n	0.10537509133552625	-0.491320277702506	0.6388937255948692	-0.0921728987964642	0.06749460470726894
ceazrrdelhuemr-uhfffaoysa-n	0.22595796744257235	-0.524081794533598	0.29155297672710756	-0.6586410524497167	0.5268837711915366
clkofpxjlqsyah-abrjdsqdsa-n	0.2509602017468827	0.396758640951161	0.26178315142500747	0.7851901745185571	0.003015810956280676
daikhdnsxmzdcu-fqtgfapksa-n	1.400962364591114	-0.7832846293102418	0.12650737558181369	-0.1894482732207195	-0.015340740157404458
dcopuumxtxdbnb-uhfffaoysa-n	-0.069283245568451	1.5045817588996395	0.062083813603737034	-0.0833542482722946	-0.025665097596159824
dhprqbpjlmkorj-xrnkamncsa-n	-0.15666304118262403	-0.34843667740931716	0.08825019409277936	0.5153937399521618	0.009027008505722477
dmjnnhooluxybv-pqtsnvlcsa-n	-0.5062673693806556	-0.29599397177214093	-0.08600289588445366	0.037746621037813455	0.0016498515052594694
doaklvkfurwedj-qcmazarjsa-n	1.5441220073032906	0.5353837654972995	-0.14968027744606494	-0.021940360571291985	-0.008638940567708987
dydcuqkucuhjbh-uwtatzphsa-n	1.2075392845359152	-0.1152834479632413	-0.6157499646359482	0.367887397822672	0.14439666569669676
fabprxsrwadjsp-meduhntesa-n	-0.40824054887691286	-0.287405521853351	-0.1341179883233839	0.024276439197133074	-0.16520480416060548
fbozxeclqnjbkd-zdusscgksa-n	-0.32834651428051365	-0.3345269478352411	-0.2405518172443014	-0.03471044532302435	-0.23041311117049357
fqybtyfkohpwqt-vgswgcgisa-n	-0.4956899109347052	-0.2634965441634109	-0.051983632936627736	0.06429803093417506	-0.05764385187739373
ghasvsinzrgabv-uhfffaoysa-n	-0.5062673693806556	-0.29599397177214093	-0.08600289588445366	0.037746621037813455	0.0016498515052594694
ghxztyhsjhqhij-uhfffaoysa-n	-0.40173617936895695	0.1689192524877725	-0.089094700258003	0.0029339991754642122	0.1423935046800748
gkirpkyjqbwngo-uhfffaoysa-n	-0.5062673693806556	-0.29599397177214093	-0.08600289588445366	0.037746621037813455	0.0016498515052594694
gprbekhldvquje-qswimtsfsa-n	0.013573525830963717	-0.30615118368033845	0.45279660457801085	-0.5519675955497523	-0.23888294862585724
gsdswsvvblhkdq-jtqlqieisa-n	-0.5062673693806556	-0.29599397177214093	-0.08600289588445366	0.037746621037813455	0.0016498515052594694
hefnnwsxxwatrw-uhfffaoysa-n	-0.26903956258046663	-0.3473712731896078	-0.29206812436425034	-0.05886280077663682	-0.3077674320624108
hupfgzxomwlgnk-uhfffaoysa-n	-0.5062673693806556	-0.29599397177214093	-0.08600289588445366	0.037746621037813455	0.0016498515052594694
hvflcnvbzffhbt-zkdacbomsa-n	0.909467286835665	-0.6821302438668816	-0.07238188442390901	-0.5245767936097843	-0.15723746242980544
iecpwnumdgfdkc-mzjaqbgesa-n	-0.3993040491410279	0.10149152542666084	-0.07937303577648194	0.06219312222819408	0.12323449023795474
iedvjhcemcrbqm-uhfffaoysa-n	-0.49222358851472076	-0.2603103169030541	-0.05188702850492035	0.057330256331565715	-0.021658717803760243
ivbhgbmcvldmku-gxnbugajsa-n	-0.41061138717334594	0.062377691005137126	-0.06947499390266203	-0.0008915367612429351	-0.09523864800938497
jfpvxvdwjqmjee-izrzkjbusa-n	0.2702735535330345	-0.48502079249488694	-0.689405731230788	-0.3200833862952702	0.32553972362498906
jgsarldlijgvte-mbnywofbsa-n	0.0358495344409	0.01896263762529421	-0.3063945758736313	-0.16342638835295323	0.4016978911624051
jlkigftwxxrpmt-uhfffaoysa-n	1.3775777339444482	-0.7706614922026926	0.058659119952540875	-0.1462834852273966	-0.0061310473057315
jqxxhwhpunpdrt-wlsiykjhsa-n	0.06532120165846256	-0.34464181875001126	0.22423301985194444	0.8155740555984491	0.0019184193690242807
kdlrvyvgxiqjdk-awpvfwjpsa-n	-0.3814111038822107	0.1549110806465832	-0.011483084135016225	0.028594029839897908	-0.1377181081360342
kworuugoslyagd-uhfffaoysa-n	0.005255089032252136	-0.40677627795355387	-0.5303310447940155	-0.17056744474959504	-0.6655311661875299
ljvajpdwbabpej-pnuffhfmsa-n	-0.5062673693806556	-0.29599397177214093	-0.08600289588445366	0.037746621037813455	0.0016498515052594694
lkcwbdhbtvxhdl-rmdfuyiesa-n	-0.4838450302801605	-0.1937302000751726	-0.08194500362913106	0.026945547258548412	-0.014584576734982533
