feature,importance_split,importance_gain,importance_gain_norm
cos_elem_2219,56,416.5693553984165,0.008126787492396174
cos_elem_1816,46,94.44470676779747,0.001842507260164338
euc_elem_635,30,100.99383094906807,0.0019702731166604194
euc_elem_1633,34,141.27061313390732,0.0027560266663440238
cos_elem_635,45,196.21432384848595,0.0038279150691623567
cos_elem_1926,47,212.24717381596565,0.004140697473567887
euc_elem_1183,26,64.60002338886261,0.0012602719217859792
euc_elem_94,18,79.95639967918396,0.0015598571052552552
euc_elem_722,66,200.7506942152977,0.00391641442102328
cos_elem_430,33,586.5882729887962,0.011443660409326746
euc_elem_430,38,195.64072300493717,0.0038167247785167047
euc_elem_2930,57,161.43896636366844,0.003149487967915497
euc_elem_2717,50,160.74827554821968,0.0031360133870147167
euc_elem_2860,13,31.791468232870102,0.0006202148647076912
euc_elem_2219,47,156.41028091311455,0.003051384116796468
cos_elem_814,51,285.3833431005478,0.00556749975290322
cos_elem_2450,14,21.30461898446083,0.0004156285354394086
cos_elem_2840,23,49.18040978908539,0.000959453051371471
cos_elem_202,25,93.44641830027103,0.0018230318039730445
euc_elem_3172,28,112.15832313895226,0.0021880794778626925
euc_elem_799,32,89.60387599468231,0.001748068237058251
cos_elem_881,24,61.735194236040115,0.0012043824104109946
cos_elem_2292,10,75.88509556651115,0.0014804306594261673
euc_elem_1567,60,182.18072779476643,0.0035541358019053355
euc_elem_2869,20,34.804776817560196,0.000679001038485088
cos_elem_3106,9,7.738555073738098,0.00015097028086073368
cos_elem_963,5,9.1736319065094,0.00017896697409813944
euc_elem_652,14,20.625637143850327,0.0004023823831280844
euc_elem_654,19,76.66777829825878,0.0014956998964750557
cos_elem_1372,43,172.6911627650261,0.0033690053370918236
cos_elem_2278,18,39.48127198219299,0.0007702340634776256
cos_elem_307,24,67.46033085882664,0.0013160732203454444
cos_elem_2903,26,40.72046539187431,0.0007944092971378791
cos_elem_2424,14,71.87578231096268,0.0014022135836954607
cos_elem_812,21,39.19107633829117,0.0007645726812884494
euc_elem_2144,9,11.920028984546661,0.0002325460123392022
euc_elem_1926,28,78.95338878035545,0.0015402895198779285
euc_elem_1754,9,20.396240025758743,0.00039790711002904574
euc_elem_3147,30,59.083832040429115,0.0011526573930762572
euc_elem_3141,24,71.20010995864868,0.0013890319956823638
cos_elem_1183,26,60.90176713466644,0.0011881232092587888
cos_elem_2930,36,134.50357645750046,0.0026240095884919774
euc_elem_1060,48,164.33850774168968,0.003206054674753668
euc_elem_2790,26,59.019842088222504,0.001151409022939346
euc_elem_1560,22,70.83170387148857,0.001381844817983246
cos_elem_2434,31,235.53038907051086,0.004594926139362166
euc_elem_2286,39,204.58569160103798,0.003991230795257044
cos_elem_392,18,51.04913666844368,0.0009959097566789186
cos_elem_2795,8,21.434143900871277,0.00041815541711468526
cos_elem_418,11,36.094669222831726,0.0007041653510535716
cos_elem_1996,30,77.66547152400017,0.0015151637401859038
cos_elem_2489,34,84.7939660847187,0.0016542324443162262
cos_elem_1752,8,8.795503973960876,0.00017159013441241195
euc_elem_1998,6,6.589858889579773,0.0001285605436561026
euc_elem_1495,19,55.13944411277771,0.0010757069355829603
cos_elem_2602,18,114.99762547016144,0.002243470990400462
euc_elem_2935,13,25.567359149456024,0.0004987896777732823
euc_elem_2923,10,13.681439220905304,0.00026690909376204757
euc_elem_1269,24,57.553725868463516,0.0011228067870745861
cos_elem_1920,32,100.03575658798218,0.0019515821912873528
cos_elem_2229,19,58.167840868234634,0.0011347874621635147
euc_elem_1550,11,33.934067755937576,0.0006620145093037876
cos_elem_1387,20,128.99742782115936,0.0025165909815080484
euc_elem_2229,24,94.0935611128807,0.0018356568135834618
euc_elem_1802,28,63.52741801738739,0.0012393466285443658
cos_elem_577,24,82.62985664606094,0.001612013166084779
cos_elem_2882,11,22.899179458618164,0.0004467365705104406
euc_elem_3097,18,31.676967680454254,0.000617981091039065
cos_elem_2473,40,125.0222270488739,0.0024390394009673358
cos_elem_446,12,22.021177232265472,0.0004296077600999997
euc_elem_254,37,109.76175686717033,0.002141325235022174
cos_elem_2340,12,32.416950941085815,0.0006324173106724835
euc_elem_2395,18,34.764920711517334,0.0006782234918415646
cos_elem_892,13,16.840413004159927,0.0003285370274971336
euc_elem_2627,8,42.10574114322662,0.0008214344287365355
euc_elem_2602,18,104.83967214822769,0.0020453010411825676
euc_elem_307,21,38.700966000556946,0.0007550111940811556
cos_elem_1064,7,8.001987874507904,0.00015610955085896815
euc_elem_2612,10,19.46802109479904,0.00037979862965099696
euc_elem_2538,16,60.6455255150795,0.0011831242309083558
euc_elem_356,9,28.039165407419205,0.0005470117659334382
euc_elem_2287,11,57.85036861896515,0.0011285939448749504
euc_elem_1401,17,49.96772372722626,0.0009748126379136757
euc_elem_1831,5,4.636080056428909,9.044457286182081e-05
cos_elem_1401,24,85.9882328659296,0.0016775312112906869
euc_elem_1314,9,114.27461206912994,0.0022293658331482735
cos_elem_302,22,49.62684139609337,0.0009681624169381552
cos_elem_2511,24,45.19835406541824,0.0008817677386384409
cos_elem_2209,26,184.79405669867992,0.0036051188336012918
euc_elem_2489,21,28.90182626247406,0.0005638412838905007
euc_elem_2795,11,15.521623939275742,0.0003028089744401362
cos_elem_2892,31,87.07102011144161,0.0016986551411470657
cos_elem_476,21,51.839260548353195,0.0010113241619429613
euc_elem_476,26,63.005129277706146,0.0012291573778420396
cos_elem_472,14,22.051094949245453,0.0004301914202396694
euc_elem_19,16,30.255195021629333,0.0005902439468851983
cos_elem_3001,16,30.461370170116425,0.0005942661861504109
euc_elem_2246,15,46.04408806562424,0.0008982670331873514
euc_elem_2843,16,34.641785979270935,0.0006758212752864305
euc_elem_2209,36,156.37207999825478,0.0030506388610231925
euc_elem_1064,8,8.313223987817764,0.00016218140833011948
euc_elem_2214,9,11.032804012298584,0.00021523727679740716
cos_elem_2956,22,82.7290036380291,0.0016139474095037767
cos_elem_444,25,95.99352526664734,0.0018727229220735211
cos_elem_2019,32,95.53332549333572,0.0018637449554677553
cos_elem_534,35,134.46871501207352,0.002623329481914307
euc_elem_1372,25,60.8862147629261,0.0011878198004302263
euc_elem_394,13,24.40452778339386,0.00047610417947866656
cos_elem_789,23,77.31699374318123,0.0015083653407505235
euc_elem_1152,13,29.423323020339012,0.0005740150839413677
cos_elem_2843,21,24.88296213746071,0.0004854378817161833
euc_elem_418,12,26.485805481672287,0.0005167075060253234
euc_elem_140,30,46.54028367996216,0.0009079472371200831
cos_elem_2287,20,58.038284212350845,0.0011322599612877335
euc_elem_2523,20,57.90232479572296,0.0011296075499372437
euc_elem_2353,31,81.66413190960884,0.001593172990715205
cos_elem_2627,11,53.552800476551056,0.001044753348885628
euc_elem_789,22,43.53893142938614,0.0008493943176262142
euc_elem_133,13,18.920772075653076,0.0003691224326951073
cos_elem_2069,7,14.35445636510849,0.0002800388817284416
euc_elem_1554,26,64.89184761047363,0.0012659650756472335
