feature,importance_split,importance_gain,importance_gain_norm
cos_elem_2219,66.6,519.1305510044098,0.009755283844145719
cos_elem_430,37.6,414.00015930235384,0.007779717563726469
cos_elem_2434,33.4,386.6904574036598,0.007266525086024454
euc_elem_1398,16.2,375.1923881828785,0.00705045818591361
cos_elem_39,27.4,362.39056147038934,0.006809891621179034
cos_elem_2602,23.2,296.9990991204977,0.005581082654007417
cos_elem_1926,54.8,257.9986802995205,0.004848203121290485
cos_elem_1314,16.0,240.55451751351356,0.00452039972179544
cos_elem_738,24.4,238.51018946766854,0.004481983565552698
euc_elem_2219,46.2,234.25482372641562,0.0044020185151694025
euc_elem_2226,23.2,210.12398546338082,0.003948561911242663
cos_elem_1856,18.6,204.60090257823467,0.0038447744513540106
euc_elem_1633,43.6,202.99859094768763,0.0038146644824213027
euc_elem_1926,43.6,202.65266127586364,0.003808163916942685
cos_elem_444,43.0,188.07288604974747,0.003534186888545065
euc_elem_1314,13.4,176.9581869751215,0.0033253241196221878
cos_elem_2840,37.6,176.12554478645325,0.0033096774564170383
cos_elem_635,44.6,173.37756555974482,0.003258038581951858
euc_elem_3141,35.0,173.16840485930442,0.0032541081216892346
cos_elem_2424,19.2,172.53835226297377,0.003242268437235961
euc_elem_430,30.8,167.6859601587057,0.003151084317540751
cos_elem_202,38.4,167.05821594893933,0.0031392880113207803
cos_elem_653,39.6,161.99659698009492,0.0030441721880342214
cos_elem_206,29.4,160.751235884428,0.0030207698840219043
cos_elem_1390,18.4,160.35206879973413,0.003013268903382458
euc_elem_2258,30.8,157.6536177828908,0.0029625607422890713
euc_elem_722,48.2,153.40979188084603,0.002882812543729991
euc_elem_963,10.2,150.6118406549096,0.002830234616389218
euc_elem_2602,18.6,149.01649543046952,0.0028002555572417564
cos_elem_2725,17.6,147.80889238715173,0.00277756278673186
cos_elem_2409,16.2,138.8116811990738,0.002608490963130636
euc_elem_635,37.4,137.55220190435648,0.002584823355836055
cos_elem_881,27.2,135.5373030424118,0.0025469602204889123
cos_elem_814,29.2,134.4990237802267,0.0025274493115421963
cos_elem_2366,25.0,133.4730726659298,0.002508170067986178
euc_elem_1183,32.8,130.72046008706093,0.002456444125508168
cos_elem_294,10.4,129.10256148129702,0.002426041252666765
cos_elem_1183,34.0,126.31773133873939,0.002373709891228259
cos_elem_2736,14.6,126.21748155355453,0.0023718260392609635
cos_elem_963,13.2,122.55497856140137,0.0023030018173010743
euc_elem_2771,18.8,121.4454479455948,0.0022821519827651926
cos_elem_859,14.8,120.66137796342373,0.002267418068117029
euc_elem_1390,11.6,120.06048095524311,0.0022561262632626276
cos_elem_654,18.2,119.17949942350387,0.0022395712273724482
euc_elem_436,27.2,118.8234549432993,0.002232880588651963
euc_elem_968,34.0,118.45458286479115,0.0022259488990777994
cos_elem_2402,23.0,118.01554261744022,0.0022176986386690726
euc_elem_2286,30.0,117.78823146224022,0.0022134271026640613
euc_elem_2717,37.2,117.48288886547088,0.0022076892324974333
cos_elem_2292,12.8,114.72134998440742,0.002155795550687923
euc_elem_602,18.0,112.30053434967995,0.0021103045973902973
euc_elem_2688,22.0,112.10742951929569,0.002106675852311763
euc_elem_3172,30.0,111.91549246311187,0.0021030690515568082
euc_elem_2246,26.0,111.90392046272754,0.0021028515953732422
euc_elem_1567,36.8,111.29285797774791,0.00209136876513728
cos_elem_556,32.0,110.4003376364708,0.0020745968967720175
cos_elem_2717,26.4,108.73112722933293,0.0020432297940543554
euc_elem_39,19.8,108.63347634673119,0.0020413947795756885
cos_elem_1909,20.8,107.5199626982212,0.0020204700975577873
euc_elem_1289,23.8,107.11759978532791,0.0020129090622535905
cos_elem_1284,11.0,105.64432722330093,0.00198522394144042
euc_elem_654,22.4,105.51820473968982,0.0019828539005626975
euc_elem_1470,17.6,105.4899877473712,0.0019823236586635
euc_elem_1809,16.0,104.7191446006298,0.0019678382971658427
euc_elem_799,36.4,104.05710441470146,0.001955397515328853
euc_elem_400,21.2,103.39221075773239,0.001942903112259421
cos_elem_2226,14.0,103.18898444026709,0.0019390841684356786
cos_elem_2489,33.4,103.02563274353743,0.0019360145317808188
euc_elem_2409,17.4,102.9335313782096,0.0019342838015060006
euc_elem_2461,18.6,102.61816012859344,0.0019283574770962042
cos_elem_2999,10.6,102.60082577914,0.0019280317372628523
cos_elem_472,26.8,102.41730782389641,0.0019245831447258987
cos_elem_2743,15.4,101.55923501551152,0.0019084585999682416
euc_elem_2292,13.0,101.5586364865303,0.0019084473526623578
cos_elem_307,32.0,99.9507524728775,0.0018782326698406678
euc_elem_2423,29.0,99.68028468489646,0.0018731501524712928
euc_elem_1060,24.4,99.07423604130744,0.0018617615402423812
cos_elem_2983,25.0,98.90797159969807,0.0018586371685059275
cos_elem_2461,16.2,98.82078850269318,0.0018569988602691095
euc_elem_2434,14.8,98.57078743875027,0.0018523009450040903
cos_elem_2913,28.8,97.92242118865252,0.0018401171180410453
euc_elem_790,16.2,97.6725611627102,0.0018354218531030503
cos_elem_3121,19.6,97.38661771714688,0.0018300485236593367
cos_elem_789,23.4,96.90519688725472,0.0018210018650972552
euc_elem_3097,32.8,96.7003076672554,0.001817151672705704
cos_elem_784,18.0,96.65147348344325,0.0018162340011807611
cos_elem_2181,32.0,95.26924526691437,0.001790259747568567
euc_elem_2930,32.6,95.13627904355526,0.001787761102000429
euc_elem_2869,36.4,93.07901386320592,0.0017491018365456109
cos_elem_3172,21.4,92.97032539844513,0.0017470594084467936
cos_elem_1470,12.6,92.25915142893791,0.001733695325131551
euc_elem_1284,15.0,91.84533600211144,0.0017259190789831245
cos_elem_2246,24.2,91.51263945698739,0.0017196671848779283
euc_elem_2199,18.8,91.36551296636462,0.001716902445499286
cos_elem_2771,11.6,90.11716587543488,0.0016934440299148606
cos_elem_652,21.8,89.61705790758133,0.001684046210484486
cos_elem_2930,28.0,88.21963988542556,0.0016577865164081526
euc_elem_2209,23.4,86.85646240413189,0.0016321702562319055
cos_elem_436,20.8,86.75117119178176,0.0016301916678772377
cos_elem_2286,29.6,86.60495473742485,0.0016274440295188776
cos_elem_1387,23.8,86.39588216990232,0.0016235152254131273
euc_elem_2366,21.8,86.23681237995625,0.0016205260525568
cos_elem_2577,18.4,86.12576550841331,0.001618439306265699
cos_elem_2209,18.4,85.72141749262809,0.0016108409677395418
euc_elem_1265,21.4,85.57053929567337,0.0016080057278671466
cos_elem_2580,19.2,85.0391909956932,0.0015980208532024175
euc_elem_1173,17.4,84.45091716051101,0.0015869662577269958
euc_elem_2920,30.6,83.74652381688357,0.0015737295930927963
euc_elem_2790,31.2,83.53720337897539,0.0015697961311105949
cos_elem_2051,21.4,83.4087123721838,0.001567381581937469
euc_elem_1920,23.6,83.36591542065143,0.001566577359552455
cos_elem_2473,32.8,83.36167847812176,0.0015664977407033461
cos_elem_967,9.8,83.29252415299416,0.0015651982215951663
euc_elem_1833,20.8,82.70953503251076,0.001554242934264531
euc_elem_1401,19.0,82.5041914999485,0.0015503842046216143
cos_elem_2019,25.8,82.3525965064764,0.0015475354950093393
cos_elem_1372,26.6,81.81101603507996,0.0015373583416657412
cos_elem_1289,17.6,81.07063343524933,0.0015234453820053243
euc_elem_254,28.6,80.85760001242161,0.0015194421471659309
euc_elem_723,26.2,80.71816360205412,0.0015168219165539742
euc_elem_3190,26.0,80.65573960021138,0.0015156488708615464
euc_elem_94,18.0,80.62486242353916,0.0015150686398923605
euc_elem_2375,26.2,80.15674195885659,0.0015062719162216068
euc_elem_784,22.6,79.95321929454803,0.0015024474035721291
cos_elem_534,22.6,79.43942957520485,0.0014927924823992195
euc_elem_2353,30.2,79.24673132300377,0.0014891713775675827
cos_elem_917,24.8,79.18952255249023,0.001488096334317567
cos_elem_1461,30.0,79.1446496039629,0.001487253100666685
euc_elem_476,23.6,78.23507938086986,0.0014701608380647483
euc_elem_2436,23.6,78.00544385761023,0.0014658456235088675
cos_elem_1693,14.0,77.87890548110008,0.001463467767346009
cos_elem_2892,27.0,77.61913596093655,0.0014585862873438213
euc_elem_434,22.6,77.6055867999792,0.0014583316771870252
euc_elem_1671,23.0,77.37826497256756,0.0014540599406342835
euc_elem_1481,17.2,76.49411346912385,0.0014374453359637747
cos_elem_2440,21.6,76.40995065569878,0.001435863783630754
euc_elem_1640,27.0,75.99041814804077,0.0014279801044942985
cos_elem_624,23.0,75.46432036757469,0.001418093895392769
cos_elem_476,21.0,75.30059556961059,0.0014150172475758088
cos_elem_3044,12.4,75.1333721101284,0.0014118748543772337
euc_elem_356,22.4,74.4621587395668,0.0013992616938973787
cos_elem_2136,21.2,74.41487611532212,0.0013983731786298597
euc_elem_2840,19.6,74.39556934535503,0.0013980103738964874
cos_elem_1531,12.6,74.30279407799244,0.0013962669799369382
cos_elem_744,10.4,73.66468077898026,0.0013842758221356026
euc_elem_2205,18.4,73.52763651311398,0.0013817005437010133
cos_elem_1340,11.8,73.50751334279775,0.0013813223975142805
euc_elem_652,22.0,73.40182437300682,0.0013793363346684105
cos_elem_783,26.6,73.17388326972723,0.0013750529609429807
euc_elem_2360,12.0,72.5541740655899,0.0013634076451828265
cos_elem_1633,14.6,72.45192201733589,0.0013614861675267085
euc_elem_2627,12.8,72.30234608352184,0.0013586753992377181
cos_elem_848,23.2,72.27412738502025,0.0013581451252766448
euc_elem_3195,25.6,71.50011521577835,0.0013436002128357017
cos_elem_2301,14.2,71.20289976000785,0.001338015064498162
cos_elem_1401,20.0,69.96164947152138,0.0013146900090523104
cos_elem_1912,14.2,69.83797459602356,0.0013123659626009191
euc_elem_2889,22.4,69.30131531506777,0.0013022812862065328
cos_elem_1481,17.0,69.16810006201267,0.0012997779609766696
euc_elem_3044,10.2,68.60491591095925,0.001289194840335011
euc_elem_1554,21.4,68.53717283308507,0.0012879218407940282
cos_elem_2347,18.2,68.51416501104832,0.0012874894874405803
cos_elem_2523,15.2,68.50016691088676,0.0012872264410063248
euc_elem_738,11.8,68.10863856673241,0.001279869004379133
cos_elem_1124,15.0,67.90598873198033,0.0012760608935770412
euc_elem_2944,12.6,67.84381911754608,0.0012748926282262277
euc_elem_886,17.8,67.78595466017723,0.0012738052635835025
euc_elem_2274,16.6,67.72568312883377,0.0012726726662150001
euc_elem_2133,15.2,67.47618782520294,0.001267984254985896
euc_elem_307,21.2,67.39803324341774,0.0012665156068249277
euc_elem_2860,22.2,67.38845835924148,0.0012663356796125272
cos_elem_1172,21.2,67.28082436919212,0.0012643130667607542
cos_elem_3031,12.6,67.26649856865406,0.0012640438623183013
euc_elem_903,18.6,67.17552192211151,0.0012623342672877375
cos_elem_1920,19.4,66.86727943420411,0.0012565419035816437
euc_elem_1560,22.6,66.72082573771476,0.0012537898070685148
cos_elem_1882,21.0,66.3342444628477,0.0012465253336949801
cos_elem_913,20.6,66.03606761097907,0.0012409221192047053
euc_elem_3001,21.2,66.02667703330516,0.0012407456554028886
cos_elem_392,18.8,65.28920298814774,0.0012268873520834601
euc_elem_19,24.4,65.15138253569603,0.001224297487875712
cos_elem_434,21.8,65.12754256129264,0.001223849497063589
euc_elem_1654,23.0,64.99392048120498,0.0012213385269105549
euc_elem_1152,20.6,64.15982340872287,0.0012056645241382447
cos_elem_1342,20.6,64.09482134580612,0.0012044430326020965
cos_elem_46,15.2,63.962631803750995,0.0012019589821036613
cos_elem_1604,19.8,63.83477274477482,0.001199556308229152
euc_elem_3014,17.0,63.812189888954165,0.001199131940662813
euc_elem_1340,8.6,63.803644073009494,0.0011989713512695309
euc_elem_444,19.4,63.64293494522572,0.0011959513726632967
euc_elem_1585,23.4,62.55070222616196,0.0011754265929566994
euc_elem_2229,20.0,62.381023491173984,0.0011722380612493655
cos_elem_1582,23.0,62.27578859329223,0.0011702605311325962
cos_elem_3193,17.4,62.262663507461546,0.00117001389001793
cos_elem_356,16.2,61.959843944013116,0.0011643234316365378
euc_elem_2837,24.6,61.60061047077179,0.0011575728666948152
cos_elem_810,12.6,61.59748458564282,0.0011575141263709442
euc_elem_2175,21.6,61.48918517231941,0.0011554790091637596
euc_elem_2093,19.6,61.268006038665774,0.0011513227035388667
euc_elem_1296,17.2,61.221081441640855,0.0011504409161688794
cos_elem_698,20.6,61.00993078052998,0.0011464730613989563
cos_elem_482,23.0,60.94863938838243,0.001145321299233456
euc_elem_2419,22.6,60.864822417497635,0.0011437462458285742
cos_elem_313,21.6,60.665495809912684,0.0011400005837192654
euc_elem_698,20.6,60.544896078109744,0.001137734324079972
cos_elem_3014,18.0,60.52209733724594,0.001137305899692339
cos_elem_1554,16.6,60.44209752082825,0.001135802576655149
cos_elem_645,23.4,60.390178573131564,0.0011348269375395343
euc_elem_3175,17.2,60.37997070997953,0.0011346351156513836
euc_elem_77,14.2,60.30896141082049,0.0011333007386482772
cos_elem_3038,19.2,60.222192510962486,0.001131670213830731
euc_elem_2731,14.4,59.85480459332466,0.001124766413985909
cos_elem_2956,19.2,59.840654951334,0.0011245005198410839
euc_elem_1550,18.8,59.510714021325114,0.00111830040810077
cos_elem_2258,17.2,59.383903962373736,0.0011159174465952871
euc_elem_1363,12.6,59.35886104702949,0.0011154468506209309
euc_elem_2923,23.0,59.24050324261189,0.0011132227203418908
cos_elem_2216,20.2,59.160234993696214,0.0011117143530336485
cos_elem_1816,26.2,58.43481209129095,0.0010980825097404434
euc_elem_73,17.2,58.17765832543373,0.0010932501838974073
euc_elem_2347,16.2,57.978922200202945,0.0010895156178851375
cos_elem_19,21.2,57.817083007097246,0.0010864744035647723
euc_elem_2158,24.4,57.66318335235119,0.001083582385723289
euc_elem_3031,14.0,57.01186401546001,0.0010713430655903073
euc_elem_881,19.2,56.98040447831154,0.0010707518911470097
euc_elem_2301,16.4,56.87439280748367,0.0010687597642384371
cos_elem_543,11.4,56.86933025717735,0.0010686646309138468
