fold,roc_auc_test,accuracy_test,f1_weighted_test,f1_macro_test,precision_antag,recall_antag,f1_antag,precision_syn,recall_syn,f1_syn,roc_auc_train,accuracy_train,f1_weighted_train,f1_macro_train,n_train,n_test
1,0.8047340185116042,0.7230046948356808,0.7231840391821801,0.7226133980796821,0.745398773006135,0.7210682492581603,0.7330316742081447,0.6996805111821086,0.7251655629139073,0.7121951219512195,0.9808618537854418,0.9084296106118956,0.9084128423774314,0.9084191304653555,2337,639
2,0.8294107334604343,0.7520661157024794,0.7521678948011237,0.7516420361247947,0.7692307692307693,0.7547169811320755,0.7619047619047619,0.7337883959044369,0.7491289198606271,0.7413793103448276,0.9786520371714412,0.9021509911429777,0.9021514785088782,0.9021501382526516,2371,605
3,0.825563273935367,0.7534722222222222,0.7535971292330994,0.7533264973761988,0.7750865051903114,0.7441860465116279,0.7593220338983051,0.7317073170731707,0.7636363636363637,0.7473309608540926,0.9784436152725955,0.9029166666666667,0.9028898443918354,0.9028935870348351,2400,576
4,0.8231469282193921,0.7313691507798961,0.7323333205625606,0.7297979111340723,0.675,0.7470355731225297,0.7091932457786116,0.7845117845117845,0.7191358024691358,0.750402576489533,0.9774668866105671,0.9012088370154231,0.9011329275611298,0.9009355629799671,2399,577
5,0.827359503639184,0.768566493955095,0.7682471323069684,0.7682616487455196,0.7491961414790996,0.8062283737024222,0.7766666666666666,0.7910447761194029,0.7310344827586207,0.7598566308243727,0.9772713347982165,0.901543596161869,0.9015017573755039,0.901479792012662,2397,579
