Drug A,Drug B,Strain,Score,Interaction Type,Method,PMID,Drug A Inchikey,Drug B Inchikey,Specie,Drug Pair
amikacin,ceftriaxone,pseudomonas testosteroni,0.75,Additivity,FICI,10382886,LKCWBDHBTVXHDL-RMDFUYIESA-N,VAAUVRVFOQPIGI-SPQHTLEESA-N,nan,"('LKCWBDHBTVXHDL-RMDFUYIESA-N', 'VAAUVRVFOQPIGI-SPQHTLEESA-N')"
amikacin,ceftazidime,pseudomonas testosteroni,0.31,Synergy,FICI,10382886,LKCWBDHBTVXHDL-RMDFUYIESA-N,ORFOPKXBNMVMKC-DWVKKRMSSA-N,nan,"('LKCWBDHBTVXHDL-RMDFUYIESA-N', 'ORFOPKXBNMVMKC-DWVKKRMSSA-N')"
amikacin,ciprofloxacin,acinetobacter baumannii,0.78,Additivity,FICI,32845920,LKCWBDHBTVXHDL-RMDFUYIESA-N,MYSWGUAQZAJSOK-UHFFFAOYSA-N,nan,"('LKCWBDHBTVXHDL-RMDFUYIESA-N', 'MYSWGUAQZAJSOK-UHFFFAOYSA-N')"
amikacin,levofloxacin,acinetobacter baumannii,1.57,Indifferent,FICI,32845920,LKCWBDHBTVXHDL-RMDFUYIESA-N,GSDSWSVVBLHKDQ-JTQLQIEISA-N,nan,"('GSDSWSVVBLHKDQ-JTQLQIEISA-N', 'LKCWBDHBTVXHDL-RMDFUYIESA-N')"
amikacin,fosfomycin,carbapenem,0.31,Synergy,FICI,33668905,LKCWBDHBTVXHDL-RMDFUYIESA-N,YMDXZJFXQJVXBF-STHAYSLISA-N,nan,"('LKCWBDHBTVXHDL-RMDFUYIESA-N', 'YMDXZJFXQJVXBF-STHAYSLISA-N')"
amikacin,fosfomycin,carbapenem,0.63,Additivity,FICI,33668905,LKCWBDHBTVXHDL-RMDFUYIESA-N,YMDXZJFXQJVXBF-STHAYSLISA-N,nan,"('LKCWBDHBTVXHDL-RMDFUYIESA-N', 'YMDXZJFXQJVXBF-STHAYSLISA-N')"
amikacin,fosfomycin,carbapenem,0.56,Additivity,FICI,33668905,LKCWBDHBTVXHDL-RMDFUYIESA-N,YMDXZJFXQJVXBF-STHAYSLISA-N,nan,"('LKCWBDHBTVXHDL-RMDFUYIESA-N', 'YMDXZJFXQJVXBF-STHAYSLISA-N')"
amikacin,ciprofloxacin,pseudomonas aeruginosa,1,Additivity,FICI,33582141,LKCWBDHBTVXHDL-RMDFUYIESA-N,MYSWGUAQZAJSOK-UHFFFAOYSA-N,nan,"('LKCWBDHBTVXHDL-RMDFUYIESA-N', 'MYSWGUAQZAJSOK-UHFFFAOYSA-N')"
ampicillin,gentamicin,escherichia coli mg1655,0.4,Synergy,FICI,32941420,AVKUERGKIZMTKX-NJBDSQKTSA-N,CEAZRRDELHUEMR-UHFFFAOYSA-N,nan,"('AVKUERGKIZMTKX-NJBDSQKTSA-N', 'CEAZRRDELHUEMR-UHFFFAOYSA-N')"
ampicillin,ciprofloxacin,escherichia coli mg1655,1.12,Indifferent,FICI,32941420,AVKUERGKIZMTKX-NJBDSQKTSA-N,MYSWGUAQZAJSOK-UHFFFAOYSA-N,nan,"('AVKUERGKIZMTKX-NJBDSQKTSA-N', 'MYSWGUAQZAJSOK-UHFFFAOYSA-N')"
